Name,Assists,Map,MatchTeams
zekken,5,Lotus,SEN VS LEV
MAGNUM,5,Breeze,KC VS FUT
Fit1nho,5,Breeze,FNC VS GX
Lmemore,5,Ascent,T1 VS RRQ
nAts,5,Split,KOI VS TL
Jamppi,5,Icebox,TL VS FUT
runi,5,Split,C9 VS EG
Meteor,5,Ascent,GEN VS TLN
hoody,5,Bind,FNC VS GX
SUYGETSU,5,Split,KC VS NAVI
Mistic,5,Split,TL VS FUT
saadhak,5,Sunset,NRG VS LOUD
ANGE1,5,Lotus,VIT VS NAVI
zekken,5,Split,SEN VS 100T
BuZz,5,Bind,GEN VS DRX
Polvi,5,Ascent,GE VS ZETA
BuZz,5,Bind,T1 VS DRX
nAts,5,Lotus,TL VS NAVI
NDG,5,Breeze,TS VS RRQ
Retla,5,Split,BLD VS DFM
Kicks,5,Icebox,VIT VS FUT
RieNs,5,Sunset,BBL VS TH
something,5,Icebox,GEN VS PRX
Asuna,5,Bind,G2 VS 100T
Klaus,5,Breeze,KRU VS FUR
Fit1nho,5,Lotus,TL VS GX
ceNder,5,Ascent,VIT VS FUT
Carpe,5,Lotus,T1 VS RRQ
Elite,5,Sunset,BBL VS TH
lenne,5,Ascent,GEN VS TLN
Carpe,5,Bind,T1 VS PRX
hoody,5,Icebox,TL VS GX
purp0,5,Bind,FNC VS GX
keznit,5,Sunset,KRU VS MIBR
Laz,5,Icebox,TS VS ZETA
Wailers,5,Sunset,BBL VS M8
Foxy9,5,Bind,GEN VS DRX
SUYGETSU,5,Sunset,KC VS NAVI
stax,5,Lotus,TS VS DRX
neth,5,Ascent,T1 VS DFM
NaturE,5,Icebox,G2 VS EG
Foxy9,5,Lotus,TS VS DRX
nataNk,5,Icebox,KC VS M8
Retla,5,Sunset,BLD VS ZETA
t3xture,5,Bind,GEN VS DRX
Sayf,5,Sunset,VIT VS TH
runneR,5,Icebox,VIT VS FUT
benjyfishy,5,Split,BBL VS TH
Surf,5,Breeze,GE VS TLN
Marved,5,Split,NRG VS FUR
eeiu,5,Icebox,SEN VS 100T
grubinho,5,Split,KOI VS TL
MrFaliN,5,Bind,KC VS FUT
Lakia,5,Bind,GEN VS PRX
icy,5,Lotus,G2 VS EG
sScary,5,Icebox,BLD VS TLN
BeYN,5,Ascent,GEN VS DRX
t3xture,5,Lotus,GEN VS DFM
aspas,5,Sunset,C9 VS LEV
Sayf,5,Breeze,VIT VS TH
Estrella,5,Ascent,T1 VS RRQ
Mistic,5,Lotus,TL VS GX
xccurate,5,Split,T1 VS DRX
havoc,5,Split,NRG VS FUR
hoody,5,Breeze,KC VS GX
fl1pzjder,5,Icebox,BLD VS RRQ
mazin,5,Sunset,KRU VS MIBR
nzr,5,Breeze,KRU VS FUR
marteen,5,Sunset,KC VS NAVI
Sacy,5,Icebox,SEN VS 100T
kon4n,5,Split,NRG VS FUR
Zest,5,Split,BLD VS DFM
t3xture,5,Icebox,GEN VS PRX
TakaS,5,Icebox,KC VS M8
yetujey,5,Breeze,KC VS FUT
ANGE1,5,Split,KC VS NAVI
kon4n,5,Lotus,KRU VS FUR
MrFaliN,5,Icebox,VIT VS FUT
Anthem,5,Lotus,GEN VS DFM
Boostio,5,Bind,G2 VS 100T
Medusa,5,Sunset,T1 VS DFM
ANGE1,5,Bind,VIT VS NAVI
Boo,5,Split,BBL VS TH
beyAz,5,Lotus,M8 VS FNC
xccurate,5,Sunset,T1 VS DFM
Retla,5,Lotus,BLD VS DFM
bang,5,Split,SEN VS 100T
Enzo,5,Ascent,TL VS NAVI
nataNk,5,Breeze,M8 VS FNC
Victor,5,Breeze,NRG VS LOUD
nAts,5,Ascent,KOI VS TL
OXY,5,Sunset,C9 VS LEV
trent,5,Split,G2 VS 100T
something,5,Lotus,GEN VS PRX
tex,4,Icebox,C9 VS LEV
MiniBoo,4,Sunset,BBL VS TH
JessieVash,4,Breeze,TS VS RRQ
runneR,4,Ascent,VIT VS FUT
moose,4,Sunset,C9 VS EG
qRaxs,4,Breeze,KC VS FUT
Zyppan,4,Split,TL VS NAVI
ban,4,Lotus,BLD VS TLN
blaZek1ng,4,Breeze,GE VS TLN
tex,4,Sunset,C9 VS LEV
Derke,4,Lotus,FNC VS TH
Dep,4,Sunset,TS VS ZETA
Less,4,Sunset,NRG VS LOUD
Klaus,4,Lotus,KRU VS FUR
OXY,4,Split,C9 VS EG
icy,4,Bind,G2 VS 100T
Chronicle,4,Icebox,FNC VS TH
Jinggg,4,Lotus,GEN VS PRX
Khalil,4,Breeze,KRU VS FUR
ANGE1,4,Lotus,TL VS NAVI
MaKo,4,Ascent,GEN VS DRX
Dep,4,Lotus,TS VS ZETA
Deryeon,4,Lotus,BLD VS DFM
QutionerX,4,Sunset,BBL VS TH
t3xture,4,Split,GEN VS DFM
Derke,4,Lotus,M8 VS FNC
pAura,4,Breeze,BBL VS KOI
BORKUM,4,Lotus,TS VS ZETA
OXY,4,Sunset,C9 VS EG
Lakia,4,Ascent,GEN VS DRX
ceNder,4,Lotus,VIT VS NAVI
Retla,4,Bind,BLD VS TLN
Zest,4,Icebox,BLD VS TLN
Khalil,4,Breeze,NRG VS FUR
paTiTek,4,Split,BBL VS TH
neth,4,Split,BLD VS DFM
Xeppaa,4,Lotus,C9 VS EG
RieNs,4,Icebox,VIT VS TH
yetujey,4,Ascent,VIT VS FUT
Retla,4,Icebox,BLD VS TLN
Surf,4,Icebox,BLD VS TLN
runneR,4,Sunset,VIT VS TH
neth,4,Sunset,T1 VS DFM
Khalil,4,Icebox,KRU VS FUR
Dep,4,Icebox,GE VS ZETA
Derke,4,Icebox,FNC VS KOI
Laz,4,Lotus,TS VS ZETA
Sayaplayer,4,Lotus,T1 VS PRX
Lmemore,4,Split,TS VS RRQ
Russ,4,Lotus,GE VS DRX
ShadoW,4,Bind,FNC VS KOI
MAGNUM,4,Lotus,KC VS FUT
mwzera,4,Lotus,KRU VS FUR
ardiis,4,Ascent,TL VS NAVI
NDG,4,Icebox,TS VS ZETA
Elite,4,Split,BBL VS TH
Wailers,4,Breeze,M8 VS FNC
Karon,4,Lotus,GEN VS TLN
NaturE,4,Split,C9 VS EG
kamo,4,Icebox,FNC VS KOI
jawgemo,4,Lotus,G2 VS EG
MAGNUM,4,Breeze,KC VS GX
Laz,4,Icebox,GE VS ZETA
OXY,4,Ascent,C9 VS LEV
nzr,4,Split,NRG VS FUR
Polvi,4,Lotus,GE VS TLN
BeYN,4,Breeze,T1 VS DRX
Medusa,4,Split,GEN VS DFM
Polvi,4,Icebox,GE VS TLN
Governor,4,Breeze,GE VS TLN
marteen,4,Lotus,KC VS FUT
runneR,4,Bind,VIT VS NAVI
Keiko,4,Split,TL VS NAVI
Meiy,4,Lotus,T1 VS DFM
Melser,4,Icebox,KRU VS MIBR
havoc,4,Breeze,KRU VS FUR
yay,4,Lotus,BLD VS RRQ
Zyppan,4,Split,KC VS NAVI
Benkai,4,Icebox,GE VS TLN
starxo,4,Icebox,BBL VS KOI
cNed,4,Ascent,VIT VS FUT
eeiu,4,Bind,G2 VS 100T
Shao,4,Ascent,TL VS NAVI
Zyppan,4,Sunset,KC VS NAVI
tomaszy,4,Breeze,KC VS GX
Zyppan,4,Bind,VIT VS NAVI
Marved,4,Sunset,NRG VS LOUD
Keiko,4,Icebox,TL VS GX
Governor,4,Lotus,GE VS TLN
fl1pzjder,4,Split,TS VS RRQ
Enzo,4,Split,TL VS FUT
pAura,4,Icebox,BBL VS KOI
Cloud,4,Ascent,TL VS GX
ardiis,4,Split,KC VS NAVI
SUYGETSU,4,Ascent,TL VS NAVI
Khalil,4,Split,NRG VS FUR
kamo,4,Ascent,KOI VS TL
xccurate,4,Lotus,T1 VS PRX
Dep,4,Ascent,BLD VS ZETA
cNed,4,Breeze,KC VS FUT
Karon,4,Split,GEN VS DRX
blaZek1ng,4,Sunset,GE VS ZETA
stax,4,Split,GEN VS DRX
Rossy,4,Split,T1 VS DRX
Estrella,4,Lotus,BLD VS RRQ
ShadoW,4,Breeze,BBL VS KOI
kiNgg,4,Icebox,C9 VS LEV
grubinho,4,Breeze,BBL VS KOI
sheydos,4,Bind,FNC VS KOI
Sayf,4,Icebox,VIT VS FUT
Meteor,4,Lotus,GEN VS TLN
yuran,4,Icebox,TS VS ZETA
sh1n,4,Icebox,KC VS M8
Meteor,4,Icebox,GEN VS PRX
beyAz,4,Breeze,M8 VS FNC
N4RRATE,4,Lotus,KC VS FUT
Dep,4,Icebox,TS VS ZETA
Lightningfast,4,Lotus,GE VS TLN
Meteor,4,Bind,GEN VS DRX
Deryeon,4,Icebox,BLD VS TLN
Jamppi,4,Split,TL VS NAVI
Anthem,4,Split,GEN VS DFM
Zyppan,4,Lotus,VIT VS NAVI
supamen,4,Split,C9 VS EG
vanity,4,Lotus,C9 VS EG
BuZz,4,Sunset,TS VS DRX
benjyfishy,4,Breeze,VIT VS TH
Leo,4,Icebox,FNC VS TH
MAGNUM,4,Split,KC VS M8
Meiy,4,Split,BLD VS DFM
Jamppi,4,Ascent,KOI VS TL
f0rsakeN,4,Lotus,GEN VS PRX
kiNgg,4,Sunset,C9 VS LEV
sheydos,4,Breeze,BBL VS KOI
Crws,4,Icebox,BLD VS TLN
Elite,4,Ascent,BBL VS M8
f0rsakeN,4,Lotus,T1 VS PRX
stax,4,Breeze,T1 VS DRX
Benkai,4,Ascent,GE VS ZETA
Surf,4,Lotus,GEN VS TLN
SSeeS,4,Ascent,T1 VS DFM
reazy,4,Sunset,BBL VS M8
eeiu,4,Split,SEN VS 100T
QutionerX,4,Sunset,BBL VS M8
Dep,4,Ascent,GE VS ZETA
SSeeS,4,Lotus,GEN VS DFM
runi,4,Sunset,C9 VS LEV
sh1n,4,Lotus,KC VS FUT
frz,4,Icebox,KRU VS MIBR
Boostio,4,Icebox,SEN VS 100T
Lakia,4,Icebox,GEN VS PRX
qRaxs,3,Sunset,VIT VS FUT
ban,3,Breeze,GE VS TLN
mwzera,3,Split,NRG VS FUR
Fit1nho,3,Breeze,KC VS GX
MiniBoo,3,Lotus,FNC VS TH
runi,3,Icebox,C9 VS LEV
supamen,3,Icebox,G2 VS EG
Meteor,3,Bind,GEN VS PRX
cauanzin,3,Sunset,NRG VS LOUD
Governor,3,Ascent,GEN VS TLN
Zest,3,Icebox,BLD VS RRQ
Keiko,3,Ascent,TL VS NAVI
Polvi,3,Sunset,GE VS ZETA
tomaszy,3,Breeze,KC VS FUT
tomaszy,3,Lotus,KC VS FUT
starxo,3,Split,KOI VS TL
Cloud,3,Icebox,TL VS GX
xffero,3,Lotus,T1 VS RRQ
Lightningfast,3,Sunset,GE VS ZETA
Enzo,3,Split,TL VS NAVI
BORKUM,3,Sunset,TS VS DRX
Derke,3,Breeze,FNC VS GX
Chronicle,3,Breeze,FNC VS GX
Brave,3,Ascent,BBL VS M8
xffero,3,Ascent,T1 VS RRQ
jawgemo,3,Icebox,G2 VS EG
zekken,3,Icebox,SEN VS 100T
blaZek1ng,3,Lotus,GE VS DRX
Redgar,3,Split,FNC VS GX
supamen,3,Sunset,C9 VS EG
Mistic,3,Icebox,TL VS FUT
Jamppi,3,Icebox,TL VS GX
Zest,3,Lotus,BLD VS RRQ
Wailers,3,Split,KC VS M8
iZu,3,Split,T1 VS DRX
beyAz,3,Icebox,KC VS M8
Apoth,3,Icebox,G2 VS EG
Zest,3,Bind,BLD VS TLN
grubinho,3,Icebox,BBL VS KOI
Cloud,3,Split,FNC VS GX
ANGE1,3,Bind,KC VS NAVI
Redgar,3,Breeze,KC VS GX
Lmemore,3,Icebox,BLD VS RRQ
JessieVash,3,Lotus,TS VS ZETA
reazy,3,Icebox,BBL VS KOI
Sayaplayer,3,Breeze,T1 VS DRX
mwzera,3,Icebox,KRU VS FUR
NDG,3,Split,TS VS RRQ
marteen,3,Split,KC VS NAVI
crashies,3,Breeze,NRG VS LOUD
Foxy9,3,Lotus,GE VS DRX
Crws,3,Bind,BLD VS TLN
Benkai,3,Lotus,GE VS DRX
yetujey,3,Split,TL VS FUT
eeiu,3,Split,G2 VS 100T
tex,3,Icebox,SEN VS LEV
moose,3,Lotus,C9 VS EG
Marved,3,Breeze,NRG VS LOUD
sheydos,3,Icebox,BBL VS KOI
tomaszy,3,Bind,KC VS NAVI
blaZek1ng,3,Lotus,GE VS TLN
benjyfishy,3,Sunset,BBL VS TH
Zyppan,3,Lotus,TL VS NAVI
logaN,3,Ascent,BBL VS M8
marteen,3,Icebox,KC VS M8
sScary,3,Lotus,BLD VS RRQ
Jamppi,3,Ascent,TL VS GX
Jremy,3,Breeze,TS VS RRQ
Sayaplayer,3,Lotus,T1 VS DFM
sScary,3,Icebox,BLD VS RRQ
QutionerX,3,Split,BBL VS TH
JitBoyS,3,Lotus,BLD VS TLN
f0rsakeN,3,Bind,GEN VS PRX
Crws,3,Lotus,GEN VS TLN
something,3,Lotus,T1 VS PRX
Meiy,3,Ascent,BLD VS DFM
ban,3,Ascent,GEN VS TLN
Zellsis,3,Icebox,SEN VS 100T
JitBoyS,3,Lotus,GE VS TLN
BuZz,3,Breeze,T1 VS DRX
hoody,3,Breeze,FNC VS GX
Apoth,3,Sunset,C9 VS EG
Rossy,3,Bind,T1 VS DRX
Fit1nho,3,Icebox,TL VS GX
BuZz,3,Lotus,GE VS DRX
xffero,3,Breeze,TS VS RRQ
Meteor,3,Lotus,GEN VS PRX
Jremy,3,Lotus,TS VS ZETA
Cloud,3,Lotus,TL VS GX
aspas,3,Icebox,SEN VS LEV
BuZz,3,Ascent,GE VS DRX
jzz,3,Icebox,KRU VS MIBR
Jremy,3,Icebox,TS VS RRQ
Jinggg,3,Lotus,T1 VS PRX
Polvi,3,Icebox,GE VS ZETA
xffero,3,Split,TS VS RRQ
Russ,3,Icebox,GE VS TLN
Elite,3,Sunset,BBL VS M8
hiroronn,3,Sunset,GE VS ZETA
Deryeon,3,Split,BLD VS DFM
Enzo,3,Icebox,TL VS GX
Sayf,3,Icebox,VIT VS TH
Sayf,3,Lotus,VIT VS NAVI
Redgar,3,Breeze,FNC VS GX
yetujey,3,Sunset,VIT VS FUT
moose,3,Sunset,C9 VS LEV
Jemkin,3,Lotus,BLD VS RRQ
ban,3,Lotus,GE VS TLN
marteen,3,Breeze,KC VS FUT
Jremy,3,Split,TS VS RRQ
Sayaplayer,3,Bind,T1 VS PRX
NDG,3,Lotus,TS VS ZETA
Shao,3,Lotus,VIT VS NAVI
Keiko,3,Split,TL VS FUT
Demon1,3,Sunset,NRG VS LOUD
Dep,3,Sunset,GE VS ZETA
Meiy,3,Lotus,BLD VS DFM
tex,3,Lotus,SEN VS LEV
Zest,3,Lotus,BLD VS TLN
MrFaliN,3,Sunset,VIT VS FUT
kamo,3,Bind,FNC VS KOI
Benkai,3,Ascent,GE VS DRX
iZu,3,Breeze,T1 VS DRX
crashies,3,Sunset,NRG VS LOUD
benjyfishy,3,Icebox,VIT VS TH
Alfajer,3,Lotus,M8 VS FNC
nataNk,3,Split,KC VS M8
xffero,3,Lotus,BLD VS RRQ
yay,3,Split,BLD VS DFM
yuran,2,Ascent,GE VS ZETA
BuZz,2,Split,T1 VS DRX
heat,2,Sunset,KRU VS MIBR
Elite,2,Breeze,BBL VS KOI
Zellsis,2,Icebox,SEN VS LEV
leaf,2,Icebox,G2 VS EG
Cryocells,2,Icebox,SEN VS 100T
Boaster,2,Breeze,M8 VS FNC
Governor,2,Icebox,BLD VS TLN
Alfajer,2,Icebox,FNC VS TH
TakaS,2,Split,KC VS M8
yuran,2,Sunset,GE VS ZETA
Jinggg,2,Bind,GEN VS PRX
Foxy9,2,Sunset,TS VS DRX
NaturE,2,Lotus,C9 VS EG
Laz,2,Lotus,BLD VS ZETA
something,2,Bind,T1 VS PRX
marteen,2,Breeze,KC VS GX
Wailers,2,Lotus,M8 VS FNC
Keiko,2,Icebox,TL VS FUT
MAGNUM,2,Icebox,KC VS M8
purp0,2,Breeze,FNC VS GX
Deryeon,2,Lotus,BLD VS RRQ
benjyfishy,2,Sunset,VIT VS TH
neth,2,Lotus,T1 VS DFM
Victor,2,Sunset,NRG VS LOUD
MaKo,2,Lotus,GE VS DRX
Anthem,2,Lotus,T1 VS DFM
tomaszy,2,Sunset,KC VS GX
Elite,2,Icebox,BBL VS KOI
Deryeon,2,Lotus,BLD VS TLN
beyAz,2,Split,KC VS M8
Foxy9,2,Ascent,GE VS DRX
TakaS,2,Breeze,M8 VS FNC
cNed,2,Sunset,VIT VS FUT
Laz,2,Sunset,BLD VS ZETA
Derke,2,Breeze,M8 VS FNC
Meiy,2,Lotus,GEN VS DFM
Victor,2,Breeze,NRG VS FUR
Jemkin,2,Icebox,TS VS RRQ
johnqt,2,Split,SEN VS 100T
Meiy,2,Ascent,T1 VS DFM
marteen,2,Bind,KC VS FUT
Russ,2,Sunset,GE VS ZETA
NDG,2,Lotus,TS VS DRX
yay,2,Ascent,BLD VS DFM
Alfajer,2,Icebox,FNC VS KOI
havoc,2,Lotus,KRU VS FUR
N4RRATE,2,Split,KC VS M8
Apoth,2,Split,C9 VS EG
Benkai,2,Sunset,GE VS ZETA
logaN,2,Icebox,KC VS M8
Polvi,2,Lotus,GE VS DRX
Governor,2,Icebox,GE VS TLN
Polvi,2,Ascent,GE VS DRX
Derke,2,Icebox,FNC VS TH
Jremy,2,Lotus,TS VS DRX
leaf,2,Split,G2 VS 100T
blaZek1ng,2,Ascent,GE VS ZETA
aspas,2,Icebox,C9 VS LEV
grubinho,2,Icebox,FNC VS KOI
Benkai,2,Lotus,GE VS TLN
yay,2,Lotus,BLD VS DFM
nAts,2,Split,TL VS FUT
logaN,2,Split,KC VS M8
Asuna,2,Split,SEN VS 100T
yay,2,Icebox,BLD VS RRQ
Retla,2,Ascent,BLD VS ZETA
Crws,2,Icebox,GE VS TLN
QutionerX,2,Ascent,BBL VS M8
yuran,2,Ascent,BLD VS ZETA
Sayaplayer,2,Split,T1 VS DRX
Jemkin,2,Breeze,TS VS RRQ
artzin,2,Icebox,KRU VS MIBR
xffero,2,Icebox,TS VS RRQ
yetujey,2,Bind,KC VS FUT
Kicks,2,Lotus,VIT VS NAVI
neth,2,Split,GEN VS DFM
Keiko,2,Split,KOI VS TL
NDG,2,Sunset,TS VS ZETA
havoc,2,Icebox,KRU VS FUR
Meiy,2,Split,GEN VS DFM
yay,2,Sunset,BLD VS ZETA
starxo,2,Breeze,BBL VS KOI
artzin,2,Sunset,KRU VS MIBR
frz,2,Sunset,KRU VS MIBR
Shyy,2,Icebox,KRU VS MIBR
logaN,2,Breeze,M8 VS FNC
OXY,2,Icebox,C9 VS LEV
qRaxs,2,Split,TL VS FUT
Foxy9,2,Breeze,T1 VS DRX
hoody,2,Split,FNC VS GX
d4v41,2,Icebox,GEN VS PRX
Retla,2,Ascent,BLD VS DFM
Sayaplayer,2,Bind,T1 VS DRX
Melser,2,Sunset,KRU VS MIBR
MiniBoo,2,Split,BBL VS TH
t3xture,2,Lotus,GEN VS PRX
Carpe,2,Split,T1 VS DRX
benjyfishy,2,Lotus,FNC VS TH
Boostio,2,Split,G2 VS 100T
BuZz,2,Split,GEN VS DRX
purp0,2,Split,FNC VS GX
Jemkin,2,Lotus,T1 VS RRQ
ShadoW,2,Icebox,FNC VS KOI
t3xture,1,Split,GEN VS DRX
Alfajer,1,Bind,FNC VS KOI
Laz,1,Sunset,GE VS ZETA
N4RRATE,1,Sunset,KC VS NAVI
cNed,1,Lotus,KC VS FUT
NDG,1,Icebox,TS VS RRQ
SUYGETSU,1,Lotus,VIT VS NAVI
Cryocells,1,Split,SEN VS 100T
Jemkin,1,Ascent,T1 VS RRQ
Meteor,1,Split,GEN VS DRX
Deryeon,1,Lotus,BLD VS ZETA
cNed,1,Split,TL VS FUT
Alfajer,1,Split,FNC VS GX
purp0,1,Breeze,KC VS GX
Russ,1,Lotus,GE VS TLN
neth,1,Ascent,BLD VS DFM
Derke,1,Bind,FNC VS GX
Quick,1,Sunset,NRG VS LOUD
havoc,1,Breeze,NRG VS FUR
Surf,1,Icebox,GE VS TLN
xffero,1,Icebox,BLD VS RRQ
TakaS,1,Lotus,M8 VS FNC
kamo,1,Breeze,BBL VS KOI
benjyfishy,1,Icebox,FNC VS TH
xccurate,1,Lotus,T1 VS DFM
t3xture,1,Ascent,GEN VS TLN
Zellsis,1,Lotus,SEN VS LEV
Medusa,1,Ascent,BLD VS DFM
xccurate,1,Bind,T1 VS DRX
C0M,1,Sunset,C9 VS LEV
valyn,1,Split,G2 VS 100T
Alfajer,1,Breeze,M8 VS FNC
Laz,1,Ascent,BLD VS ZETA
Meteor,1,Ascent,GEN VS DRX
Lmemore,1,Lotus,T1 VS RRQ
keznit,1,Icebox,KRU VS MIBR
xccurate,1,Ascent,T1 VS DFM
BuZz,1,Ascent,GEN VS DRX
runneR,1,Lotus,VIT VS NAVI
yay,1,Icebox,BLD VS TLN
Retla,1,Lotus,BLD VS RRQ
jawgemo,1,Sunset,C9 VS EG
tuyz,1,Sunset,NRG VS LOUD
mwzera,1,Breeze,KRU VS FUR
zekken,1,Icebox,SEN VS LEV
nataNk,1,Lotus,M8 VS FNC
Demon1,1,Breeze,NRG VS FUR
Governor,1,Bind,BLD VS TLN
Surf,1,Lotus,BLD VS TLN
nAts,1,Ascent,TL VS NAVI
sheydos,1,Ascent,KOI VS TL
neth,1,Lotus,GEN VS DFM
Medusa,1,Lotus,T1 VS DFM
Shyy,1,Lotus,KRU VS FUR
SUYGETSU,1,Lotus,TL VS NAVI
cNed,1,Icebox,TL VS FUT
jawgemo,1,Split,C9 VS EG
yetujey,1,Lotus,KC VS FUT
Meteor,1,Lotus,GEN VS DFM
sheydos,1,Split,KOI VS TL
Fit1nho,1,Bind,FNC VS GX
jawgemo,1,Lotus,C9 VS EG
Jemkin,1,Split,TS VS RRQ
logaN,1,Lotus,M8 VS FNC
Meteor,1,Split,GEN VS DFM
yay,1,Bind,BLD VS TLN
Sayaplayer,1,Ascent,T1 VS RRQ
Alfajer,1,Breeze,FNC VS GX
ShadoW,1,Icebox,BBL VS KOI
xccurate,0,Ascent,T1 VS RRQ
JitBoyS,0,Icebox,GE VS TLN
purp0,0,Icebox,TL VS GX
Demon1,0,Split,NRG VS FUR
kamo,0,Icebox,BBL VS KOI
hiroronn,0,Sunset,TS VS ZETA
purp0,0,Ascent,TL VS GX
Retla,0,Icebox,BLD VS RRQ
QutionerX,0,Breeze,BBL VS KOI
Derrek,0,Icebox,G2 VS EG
Jemkin,0,Icebox,BLD VS RRQ
Surf,0,Lotus,GE VS TLN
Cloud,0,Breeze,KC VS GX
cNed,0,Icebox,VIT VS FUT
t3xture,0,Bind,GEN VS PRX
Quick,0,Breeze,NRG VS LOUD
sheydos,0,Icebox,FNC VS KOI
xccurate,0,Lotus,T1 VS RRQ
keznit,0,Breeze,KRU VS FUR
Governor,0,Lotus,BLD VS TLN
Mazino,0,Sunset,C9 VS LEV
Derke,0,Split,FNC VS GX
