Name,HS Rate,Map,MatchTeams
SSeeS,0.69,Lotus,GEN VS DFM
Redgar,0.67,Bind,FNC VS GX
logaN,0.63,Lotus,M8 VS FNC
havoc,0.6,Breeze,NRG VS FUR
Fit1nho,0.6,Breeze,KC VS GX
Lightningfast,0.58,Sunset,GE VS ZETA
sheydos,0.58,Split,KOI VS TL
heat,0.57,Sunset,KRU VS MIBR
Elite,0.56,Breeze,BBL VS KOI
vanity,0.56,Icebox,C9 VS LEV
havoc,0.55,Breeze,KRU VS FUR
JitBoyS,0.55,Icebox,GE VS TLN
hiroronn,0.55,Sunset,TS VS ZETA
Keiko,0.54,Ascent,KOI VS TL
Redgar,0.53,Split,FNC VS GX
runi,0.52,Sunset,C9 VS EG
Demon1,0.52,Split,NRG VS FUR
crashies,0.52,Split,NRG VS FUR
marteen,0.52,Breeze,KC VS GX
purp0,0.52,Bind,FNC VS GX
Demon1,0.51,Breeze,NRG VS FUR
heat,0.51,Breeze,KRU VS FUR
havoc,0.5,Icebox,KRU VS FUR
Brave,0.5,Icebox,BBL VS KOI
Boo,0.5,Icebox,FNC VS TH
Elite,0.5,Sunset,BBL VS TH
ban,0.5,Lotus,BLD VS TLN
Russ,0.5,Ascent,GE VS DRX
Mazino,0.5,Icebox,C9 VS LEV
Jemkin,0.5,Icebox,BLD VS RRQ
f0rsakeN,0.49,Lotus,T1 VS PRX
aspas,0.48,Sunset,C9 VS LEV
Apoth,0.48,Split,C9 VS EG
NaturE,0.48,Split,C9 VS EG
runi,0.48,Sunset,C9 VS LEV
Rossy,0.48,Ascent,T1 VS RRQ
QutionerX,0.48,Ascent,BBL VS M8
Retla,0.48,Lotus,BLD VS ZETA
JitBoyS,0.48,Lotus,GE VS TLN
Surf,0.48,Bind,BLD VS TLN
Zest,0.48,Icebox,BLD VS TLN
tomaszy,0.48,Bind,KC VS NAVI
blaZek1ng,0.47,Ascent,GE VS ZETA
JitBoyS,0.47,Ascent,GEN VS TLN
nzr,0.47,Lotus,KRU VS FUR
marteen,0.47,Split,KC VS NAVI
supamen,0.47,Sunset,C9 VS EG
crashies,0.47,Breeze,NRG VS FUR
Governor,0.46,Icebox,GE VS TLN
t3xture,0.46,Bind,GEN VS PRX
Jemkin,0.46,Icebox,TS VS RRQ
NaturE,0.46,Lotus,C9 VS EG
N4RRATE,0.46,Sunset,KC VS NAVI
supamen,0.46,Icebox,G2 VS EG
Redgar,0.45,Icebox,TL VS GX
Xeppaa,0.45,Icebox,C9 VS LEV
grubinho,0.45,Bind,FNC VS KOI
grubinho,0.45,Breeze,BBL VS KOI
ANGE1,0.45,Lotus,VIT VS NAVI
Alfajer,0.45,Bind,FNC VS KOI
stax,0.45,Lotus,TS VS DRX
Deryeon,0.45,Lotus,BLD VS TLN
benjyfishy,0.45,Sunset,VIT VS TH
jzz,0.45,Icebox,KRU VS MIBR
Mazino,0.44,Sunset,C9 VS LEV
ceNder,0.44,Bind,VIT VS NAVI
JitBoyS,0.44,Lotus,GEN VS TLN
artzin,0.44,Icebox,KRU VS MIBR
blaZek1ng,0.44,Icebox,GE VS TLN
Boo,0.44,Icebox,VIT VS TH
Brave,0.44,Split,BBL VS TH
mindfreak,0.44,Bind,GEN VS PRX
Elite,0.44,Icebox,BBL VS KOI
Munchkin,0.44,Lotus,GEN VS DFM
Keiko,0.44,Icebox,TL VS GX
MaKo,0.44,Lotus,TS VS DRX
SugarZ3ro,0.44,Ascent,BLD VS ZETA
Retla,0.43,Lotus,BLD VS RRQ
nataNk,0.43,Ascent,BBL VS M8
kamo,0.43,Icebox,BBL VS KOI
Melser,0.43,Lotus,KRU VS FUR
eeiu,0.43,Icebox,SEN VS 100T
Russ,0.43,Lotus,GE VS DRX
purp0,0.43,Breeze,FNC VS GX
Mistic,0.43,Lotus,TL VS GX
Mistic,0.43,Split,KOI VS TL
ANGE1,0.43,Bind,VIT VS NAVI
Lmemore,0.43,Split,TS VS RRQ
Russ,0.43,Breeze,GE VS TLN
Shao,0.43,Sunset,KC VS NAVI
Sacy,0.43,Icebox,SEN VS 100T
logaN,0.43,Icebox,KC VS M8
mindfreak,0.43,Lotus,T1 VS PRX
Marved,0.43,Breeze,NRG VS LOUD
JitBoyS,0.43,Lotus,BLD VS TLN
Fit1nho,0.42,Ascent,TL VS GX
Jemkin,0.42,Breeze,TS VS RRQ
crashies,0.42,Sunset,NRG VS LOUD
Surf,0.42,Breeze,GE VS TLN
Deryeon,0.42,Lotus,BLD VS RRQ
tomaszy,0.42,Breeze,KC VS FUT
Quick,0.42,Sunset,NRG VS LOUD
Lightningfast,0.42,Lotus,GE VS TLN
SUYGETSU,0.42,Lotus,TL VS NAVI
Meteor,0.41,Bind,GEN VS PRX
yay,0.41,Icebox,BLD VS TLN
xffero,0.41,Breeze,TS VS RRQ
BeYN,0.41,Sunset,TS VS DRX
cNed,0.41,Bind,KC VS FUT
Alfajer,0.41,Icebox,FNC VS TH
Jamppi,0.41,Ascent,TL VS NAVI
SUYGETSU,0.41,Bind,VIT VS NAVI
Elite,0.41,Sunset,BBL VS M8
Alfajer,0.41,Bind,FNC VS GX
SSeeS,0.41,Ascent,T1 VS DFM
Karon,0.41,Split,GEN VS DFM
Fit1nho,0.41,Breeze,FNC VS GX
starxo,0.41,Icebox,BBL VS KOI
Russ,0.41,Sunset,GE VS ZETA
marteen,0.41,Breeze,KC VS FUT
Derrek,0.41,Icebox,G2 VS EG
Jamppi,0.41,Lotus,TL VS NAVI
Surf,0.4,Icebox,GE VS TLN
nAts,0.4,Icebox,TL VS FUT
kiNgg,0.4,Lotus,SEN VS LEV
JitBoyS,0.4,Breeze,GE VS TLN
Brave,0.4,Sunset,BBL VS M8
invy,0.4,Breeze,TS VS RRQ
Keiko,0.4,Icebox,TL VS FUT
zekken,0.4,Icebox,SEN VS LEV
ShadoW,0.4,Icebox,FNC VS KOI
hiroronn,0.4,Sunset,GE VS ZETA
RieNs,0.4,Sunset,VIT VS TH
Zest,0.4,Bind,BLD VS TLN
RieNs,0.4,Lotus,FNC VS TH
ceNder,0.4,Lotus,VIT VS NAVI
aspas,0.4,Lotus,SEN VS LEV
mindfreak,0.4,Icebox,GEN VS PRX
Leo,0.4,Split,FNC VS GX
Boo,0.4,Lotus,FNC VS TH
Jemkin,0.4,Ascent,T1 VS RRQ
invy,0.4,Lotus,TS VS DRX
mwzera,0.39,Breeze,NRG VS FUR
Mistic,0.39,Split,TL VS FUT
purp0,0.39,Icebox,TL VS GX
hiroronn,0.39,Lotus,BLD VS ZETA
Melser,0.39,Icebox,KRU VS MIBR
MiniBoo,0.39,Lotus,FNC VS TH
Shao,0.39,Lotus,VIT VS NAVI
neth,0.39,Lotus,T1 VS DFM
Cloud,0.39,Lotus,TL VS GX
MiniBoo,0.39,Icebox,FNC VS TH
kiNgg,0.39,Sunset,C9 VS LEV
Zest,0.39,Icebox,BLD VS RRQ
Russ,0.39,Ascent,GE VS ZETA
logaN,0.39,Breeze,M8 VS FNC
Medusa,0.39,Split,GEN VS DFM
tex,0.39,Sunset,C9 VS LEV
Apoth,0.39,Lotus,C9 VS EG
tomaszy,0.39,Sunset,KC VS GX
Lmemore,0.39,Lotus,BLD VS RRQ
Sayf,0.38,Icebox,VIT VS FUT
ban,0.38,Lotus,GEN VS TLN
Boaster,0.38,Split,FNC VS GX
Medusa,0.38,Lotus,GEN VS DFM
hiroronn,0.38,Sunset,BLD VS ZETA
ShadoW,0.38,Bind,FNC VS KOI
MiniBoo,0.38,Breeze,VIT VS TH
Cloud,0.38,Sunset,KC VS GX
qRaxs,0.38,Bind,KC VS FUT
N4RRATE,0.38,Icebox,KC VS M8
SUYGETSU,0.38,Lotus,VIT VS NAVI
Elite,0.38,Ascent,BBL VS M8
Polvi,0.38,Lotus,GE VS DRX
Surf,0.38,Lotus,BLD VS TLN
havoc,0.38,Lotus,KRU VS FUR
heat,0.38,Lotus,KRU VS FUR
ban,0.38,Icebox,GE VS TLN
Melser,0.38,Sunset,KRU VS MIBR
Russ,0.38,Lotus,GE VS TLN
JessieVash,0.38,Icebox,TS VS ZETA
johnqt,0.38,Split,SEN VS 100T
tuyz,0.38,Sunset,NRG VS LOUD
Sayf,0.38,Lotus,VIT VS NAVI
blaZek1ng,0.37,Sunset,GE VS ZETA
Meteor,0.37,Split,GEN VS DFM
RieNs,0.37,Breeze,VIT VS TH
starxo,0.37,Breeze,BBL VS KOI
trent,0.37,Bind,G2 VS 100T
Sayf,0.37,Bind,VIT VS NAVI
johnqt,0.37,Lotus,SEN VS LEV
Deryeon,0.37,Bind,BLD VS TLN
RieNs,0.37,Icebox,FNC VS TH
Foxy9,0.37,Ascent,GE VS DRX
Mistic,0.37,Ascent,KOI VS TL
ban,0.37,Breeze,GE VS TLN
Carpe,0.37,Lotus,T1 VS RRQ
qRaxs,0.37,Icebox,TL VS FUT
MiniBoo,0.37,Icebox,VIT VS TH
nAts,0.37,Ascent,TL VS NAVI
bang,0.37,Split,SEN VS 100T
AtaKaptan,0.37,Icebox,TL VS FUT
pAura,0.37,Split,BBL VS TH
jzz,0.37,Sunset,KRU VS MIBR
Demon1,0.37,Sunset,NRG VS LOUD
Zyppan,0.37,Ascent,TL VS NAVI
OXY,0.37,Sunset,C9 VS EG
leaf,0.37,Bind,G2 VS 100T
Elite,0.37,Split,BBL VS TH
Boo,0.37,Breeze,VIT VS TH
Dep,0.37,Lotus,TS VS ZETA
iZu,0.37,Breeze,T1 VS DRX
Derke,0.37,Icebox,FNC VS KOI
Derrek,0.37,Sunset,C9 VS EG
ardiis,0.36,Lotus,TL VS NAVI
blaZek1ng,0.36,Lotus,GE VS TLN
Khalil,0.36,Lotus,KRU VS FUR
Derrek,0.36,Split,C9 VS EG
invy,0.36,Icebox,TS VS ZETA
moose,0.36,Sunset,C9 VS LEV
Wailers,0.36,Ascent,BBL VS M8
N4RRATE,0.36,Bind,KC VS NAVI
Brave,0.36,Sunset,BBL VS TH
Demon1,0.36,Breeze,NRG VS LOUD
fl1pzjder,0.36,Breeze,TS VS RRQ
trent,0.36,Lotus,G2 VS EG
Carpe,0.36,Split,T1 VS DRX
Fit1nho,0.36,Lotus,TL VS GX
JitBoyS,0.36,Icebox,BLD VS TLN
Lightningfast,0.36,Icebox,GE VS TLN
keznit,0.36,Icebox,KRU VS FUR
sh1n,0.36,Split,KC VS NAVI
Lightningfast,0.36,Ascent,GE VS ZETA
SugarZ3ro,0.36,Sunset,TS VS ZETA
reazy,0.36,Sunset,BBL VS TH
Fit1nho,0.36,Icebox,TL VS GX
sh1n,0.36,Sunset,KC VS NAVI
crashies,0.35,Breeze,NRG VS LOUD
Fit1nho,0.35,Sunset,KC VS GX
ardiis,0.35,Split,KC VS NAVI
SUYGETSU,0.35,Bind,KC VS NAVI
JitBoyS,0.35,Bind,BLD VS TLN
grubinho,0.35,Icebox,FNC VS KOI
Sayaplayer,0.35,Bind,T1 VS PRX
kamo,0.35,Bind,FNC VS KOI
Dep,0.35,Icebox,TS VS ZETA
keznit,0.35,Icebox,KRU VS MIBR
runi,0.35,Icebox,C9 VS LEV
BORKUM,0.35,Split,TS VS RRQ
Ethan,0.35,Split,NRG VS FUR
NaturE,0.35,Lotus,G2 VS EG
Munchkin,0.35,Icebox,GEN VS PRX
Melser,0.35,Icebox,KRU VS FUR
Alfajer,0.35,Breeze,FNC VS GX
yuran,0.35,Icebox,TS VS ZETA
bang,0.35,Bind,G2 VS 100T
logaN,0.35,Ascent,BBL VS M8
Medusa,0.35,Lotus,T1 VS DFM
yetujey,0.35,Lotus,KC VS FUT
benjyfishy,0.35,Split,BBL VS TH
Sayaplayer,0.35,Lotus,T1 VS RRQ
SUYGETSU,0.35,Split,TL VS NAVI
stax,0.35,Split,T1 VS DRX
invy,0.35,Sunset,TS VS ZETA
Alfajer,0.35,Split,FNC VS GX
tomaszy,0.35,Split,KC VS NAVI
BuZz,0.35,Breeze,T1 VS DRX
Zest,0.34,Sunset,BLD VS ZETA
NDG,0.34,Sunset,TS VS ZETA
N4RRATE,0.34,Lotus,KC VS FUT
NaturE,0.34,Icebox,G2 VS EG
reazy,0.34,Sunset,BBL VS M8
Jremy,0.34,Icebox,TS VS ZETA
ceNder,0.34,Sunset,VIT VS FUT
Mazino,0.34,Lotus,SEN VS LEV
trent,0.34,Split,G2 VS 100T
Lmemore,0.34,Breeze,TS VS RRQ
Lmemore,0.34,Lotus,T1 VS RRQ
Asuna,0.34,Icebox,SEN VS 100T
Karon,0.34,Bind,GEN VS PRX
tomaszy,0.34,Sunset,KC VS NAVI
Xeppaa,0.34,Ascent,C9 VS LEV
cNed,0.34,Split,TL VS FUT
Khalil,0.34,Breeze,KRU VS FUR
Sayaplayer,0.34,Ascent,T1 VS RRQ
xffero,0.34,Icebox,TS VS RRQ
iZu,0.34,Ascent,T1 VS RRQ
f0rsakeN,0.34,Icebox,GEN VS PRX
Shyy,0.34,Sunset,KRU VS MIBR
xffero,0.34,Icebox,BLD VS RRQ
SugarZ3ro,0.34,Icebox,GE VS ZETA
Deryeon,0.34,Sunset,BLD VS ZETA
yay,0.34,Icebox,BLD VS RRQ
Karon,0.34,Lotus,GEN VS DFM
MAGNUM,0.34,Bind,KC VS FUT
marteen,0.34,Split,KC VS M8
Dep,0.34,Sunset,GE VS ZETA
MaKo,0.34,Split,T1 VS DRX
valyn,0.34,Icebox,G2 VS EG
Lmemore,0.34,Ascent,T1 VS RRQ
SugarZ3ro,0.34,Sunset,BLD VS ZETA
Benkai,0.33,Icebox,GE VS ZETA
Laz,0.33,Ascent,GE VS ZETA
Apoth,0.33,Sunset,C9 VS EG
Shao,0.33,Ascent,TL VS NAVI
runi,0.33,Lotus,C9 VS EG
tex,0.33,Ascent,C9 VS LEV
BORKUM,0.33,Breeze,TS VS RRQ
benjyfishy,0.33,Lotus,FNC VS TH
Sayf,0.33,Sunset,VIT VS FUT
Shyy,0.33,Breeze,KRU VS FUR
Jemkin,0.33,Split,TS VS RRQ
JessieVash,0.33,Lotus,TS VS DRX
SugarZ3ro,0.33,Sunset,GE VS ZETA
mindfreak,0.33,Lotus,GEN VS PRX
blaZek1ng,0.33,Lotus,GE VS DRX
Sayaplayer,0.33,Lotus,T1 VS DFM
moose,0.33,Lotus,C9 VS EG
yetujey,0.33,Sunset,VIT VS FUT
Lightningfast,0.33,Lotus,GE VS DRX
Munchkin,0.33,Ascent,GEN VS TLN
Sacy,0.33,Lotus,SEN VS LEV
zekken,0.33,Icebox,SEN VS 100T
nAts,0.33,Split,KOI VS TL
something,0.33,Bind,GEN VS PRX
Alfajer,0.33,Icebox,FNC VS KOI
Deryeon,0.33,Icebox,BLD VS TLN
supamen,0.33,Lotus,G2 VS EG
blaZek1ng,0.33,Breeze,GE VS TLN
jawgemo,0.33,Sunset,C9 VS EG
nataNk,0.33,Lotus,M8 VS FNC
Crws,0.33,Lotus,GEN VS TLN
Keiko,0.33,Split,KOI VS TL
Klaus,0.33,Breeze,KRU VS FUR
Russ,0.33,Icebox,GE VS ZETA
Redgar,0.33,Ascent,TL VS GX
ban,0.33,Icebox,BLD VS TLN
kon4n,0.33,Icebox,KRU VS FUR
johnqt,0.33,Icebox,SEN VS 100T
sScary,0.33,Lotus,BLD VS TLN
Shao,0.33,Lotus,TL VS NAVI
nAts,0.33,Lotus,TL VS NAVI
MaKo,0.33,Breeze,T1 VS DRX
tuyz,0.33,Breeze,NRG VS LOUD
t3xture,0.33,Icebox,GEN VS PRX
nataNk,0.33,Split,KC VS M8
Deryeon,0.33,Ascent,BLD VS ZETA
Sayaplayer,0.33,Bind,T1 VS DRX
Zellsis,0.32,Split,SEN VS 100T
yetujey,0.32,Breeze,KC VS FUT
Redgar,0.32,Sunset,KC VS GX
Boaster,0.32,Bind,FNC VS GX
Jinggg,0.32,Icebox,GEN VS PRX
stax,0.32,Bind,T1 VS DRX
AtaKaptan,0.32,Breeze,KC VS FUT
paTiTek,0.32,Icebox,VIT VS TH
Surf,0.32,Icebox,BLD VS TLN
AtaKaptan,0.32,Bind,KC VS FUT
d4v41,0.32,Icebox,GEN VS PRX
logaN,0.32,Split,KC VS M8
jawgemo,0.32,Split,C9 VS EG
Rossy,0.32,Breeze,T1 VS DRX
moose,0.32,Sunset,C9 VS EG
Russ,0.32,Icebox,GE VS TLN
Lakia,0.32,Lotus,GEN VS TLN
Governor,0.32,Icebox,BLD VS TLN
jawgemo,0.32,Icebox,G2 VS EG
runi,0.32,Ascent,C9 VS LEV
BORKUM,0.32,Sunset,TS VS DRX
xccurate,0.32,Bind,T1 VS PRX
Mistic,0.32,Lotus,TL VS NAVI
Quick,0.32,Breeze,NRG VS LOUD
sheydos,0.32,Ascent,KOI VS TL
Meteor,0.32,Lotus,GEN VS PRX
Zyppan,0.32,Lotus,TL VS NAVI
Cryocells,0.32,Icebox,SEN VS 100T
ceNder,0.32,Sunset,VIT VS TH
yay,0.32,Ascent,BLD VS ZETA
Lakia,0.32,Lotus,GEN VS PRX
tomaszy,0.32,Lotus,KC VS FUT
starxo,0.32,Bind,FNC VS KOI
N4RRATE,0.32,Breeze,KC VS GX
MrFaliN,0.32,Split,TL VS FUT
Munchkin,0.32,Split,GEN VS DFM
sheydos,0.32,Breeze,BBL VS KOI
MrFaliN,0.31,Sunset,VIT VS FUT
ANGE1,0.31,Split,TL VS NAVI
Boo,0.31,Sunset,BBL VS TH
Apoth,0.31,Lotus,G2 VS EG
grubinho,0.31,Split,KOI VS TL
grubinho,0.31,Icebox,BBL VS KOI
hiroronn,0.31,Lotus,TS VS ZETA
N4RRATE,0.31,Split,KC VS M8
Laz,0.31,Icebox,GE VS ZETA
BuZz,0.31,Bind,T1 VS DRX
SUYGETSU,0.31,Split,KC VS NAVI
benjyfishy,0.31,Icebox,FNC VS TH
SugarZ3ro,0.31,Lotus,BLD VS ZETA
Zyppan,0.31,Sunset,KC VS NAVI
invy,0.31,Sunset,TS VS DRX
Foxy9,0.31,Breeze,T1 VS DRX
Mistic,0.31,Split,TL VS NAVI
mazin,0.31,Sunset,KRU VS MIBR
Keiko,0.31,Lotus,TL VS GX
Fit1nho,0.31,Bind,FNC VS GX
hiroronn,0.31,Icebox,TS VS ZETA
Redgar,0.31,Breeze,FNC VS GX
Anthem,0.31,Sunset,T1 VS DFM
MAGNUM,0.31,Split,KC VS M8
invy,0.31,Icebox,TS VS RRQ
Estrella,0.31,Lotus,BLD VS RRQ
AtaKaptan,0.31,Split,TL VS FUT
cNed,0.31,Breeze,KC VS FUT
SugarZ3ro,0.31,Ascent,GE VS ZETA
kamo,0.31,Icebox,FNC VS KOI
Derke,0.31,Lotus,FNC VS TH
keznit,0.31,Breeze,KRU VS FUR
Estrella,0.31,Breeze,TS VS RRQ
ANGE1,0.31,Sunset,KC VS NAVI
purp0,0.31,Ascent,TL VS GX
Derrek,0.31,Lotus,C9 VS EG
ban,0.31,Ascent,GEN VS TLN
purp0,0.31,Split,FNC VS GX
Anthem,0.31,Ascent,T1 VS DFM
Sayf,0.3,Sunset,VIT VS TH
t3xture,0.3,Lotus,GEN VS PRX
neth,0.3,Sunset,T1 VS DFM
BeYN,0.3,Breeze,T1 VS DRX
stax,0.3,Sunset,TS VS DRX
BeYN,0.3,Ascent,GE VS DRX
Lmemore,0.3,Icebox,BLD VS RRQ
Carpe,0.3,Bind,T1 VS PRX
valyn,0.3,Lotus,G2 VS EG
vanity,0.3,Sunset,C9 VS LEV
ANGE1,0.3,Bind,KC VS NAVI
moose,0.3,Icebox,C9 VS LEV
Jamppi,0.3,Icebox,TL VS FUT
hoody,0.3,Bind,FNC VS GX
Sayaplayer,0.3,Sunset,T1 VS DFM
Karon,0.3,Ascent,GEN VS TLN
Enzo,0.3,Icebox,TL VS GX
pAura,0.3,Sunset,BBL VS M8
Cloud,0.3,Icebox,TL VS GX
Cryocells,0.3,Bind,G2 VS 100T
tex,0.3,Icebox,C9 VS LEV
BeYN,0.3,Lotus,GE VS DRX
JessieVash,0.3,Sunset,TS VS ZETA
Alfajer,0.3,Lotus,M8 VS FNC
keznit,0.3,Lotus,KRU VS FUR
hoody,0.3,Split,FNC VS GX
Carpe,0.3,Sunset,T1 VS DFM
Retla,0.3,Icebox,BLD VS RRQ
tomaszy,0.3,Split,KC VS M8
RieNs,0.3,Icebox,VIT VS TH
qRaxs,0.3,Ascent,VIT VS FUT
ban,0.3,Lotus,GE VS TLN
RieNs,0.3,Sunset,BBL VS TH
Xeppaa,0.3,Lotus,C9 VS EG
MiniBoo,0.3,Sunset,VIT VS TH
ceNder,0.3,Icebox,VIT VS TH
BuZz,0.3,Ascent,GE VS DRX
Lmemore,0.3,Icebox,TS VS RRQ
aspas,0.3,Icebox,C9 VS LEV
Keiko,0.3,Ascent,TL VS NAVI
Boostio,0.3,Bind,G2 VS 100T
kon4n,0.3,Breeze,NRG VS FUR
trexx,0.3,Bind,VIT VS NAVI
Dep,0.3,Lotus,BLD VS ZETA
heat,0.3,Icebox,KRU VS MIBR
valyn,0.3,Split,G2 VS 100T
Sayf,0.3,Ascent,VIT VS FUT
Klaus,0.3,Sunset,KRU VS MIBR
Lightningfast,0.3,Breeze,GE VS TLN
Keiko,0.3,Lotus,TL VS NAVI
hiroronn,0.3,Icebox,GE VS ZETA
Chronicle,0.3,Bind,FNC VS KOI
xccurate,0.3,Bind,T1 VS DRX
purp0,0.29,Lotus,TL VS GX
RieNs,0.29,Split,BBL VS TH
nAts,0.29,Lotus,TL VS GX
kamo,0.29,Split,KOI VS TL
Estrella,0.29,Lotus,T1 VS RRQ
AtaKaptan,0.29,Icebox,VIT VS FUT
Deryeon,0.29,Lotus,BLD VS ZETA
Rossy,0.29,Lotus,T1 VS RRQ
Retla,0.29,Bind,BLD VS TLN
Benkai,0.29,Breeze,GE VS TLN
grubinho,0.29,Ascent,KOI VS TL
hoody,0.29,Icebox,TL VS GX
yuran,0.29,Ascent,BLD VS ZETA
Rossy,0.29,Lotus,T1 VS PRX
cNed,0.29,Icebox,TL VS FUT
Crws,0.29,Lotus,BLD VS TLN
Zest,0.29,Lotus,BLD VS TLN
Jamppi,0.29,Ascent,TL VS GX
fl1pzjder,0.29,Lotus,BLD VS RRQ
Lightningfast,0.29,Icebox,GE VS ZETA
Redgar,0.29,Breeze,KC VS GX
Cloud,0.29,Breeze,FNC VS GX
Less,0.29,Breeze,NRG VS LOUD
hoody,0.29,Breeze,KC VS GX
Polvi,0.29,Ascent,GE VS DRX
Dep,0.29,Icebox,GE VS ZETA
Derke,0.29,Breeze,M8 VS FNC
sScary,0.29,Bind,BLD VS TLN
Khalil,0.29,Icebox,KRU VS FUR
starxo,0.29,Split,KOI VS TL
iZu,0.29,Sunset,T1 VS DFM
Shao,0.29,Split,TL VS NAVI
supamen,0.29,Split,C9 VS EG
ANGE1,0.29,Ascent,TL VS NAVI
Leo,0.29,Breeze,M8 VS FNC
Lakia,0.29,Lotus,GEN VS DFM
runi,0.29,Split,C9 VS EG
Governor,0.29,Bind,BLD VS TLN
heat,0.29,Icebox,KRU VS FUR
Medusa,0.29,Ascent,T1 VS DFM
f0rsakeN,0.29,Bind,T1 VS PRX
Crws,0.29,Lotus,GE VS TLN
sh1n,0.29,Sunset,KC VS GX
SUYGETSU,0.29,Ascent,TL VS NAVI
Marved,0.29,Split,NRG VS FUR
supamen,0.29,Lotus,C9 VS EG
tomaszy,0.29,Breeze,KC VS GX
Foxy9,0.29,Lotus,GE VS DRX
hoody,0.28,Breeze,FNC VS GX
Chronicle,0.28,Bind,FNC VS GX
f0rsakeN,0.28,Bind,GEN VS PRX
Cloud,0.28,Breeze,KC VS GX
Polvi,0.28,Breeze,GE VS TLN
OXY,0.28,Icebox,C9 VS LEV
logaN,0.28,Sunset,BBL VS M8
