Team,HS Rate,MatchTeams,Map
TLN,0.402,GE VS TLN,Icebox
GX,0.388,FNC VS GX,Bind
C9,0.388,C9 VS LEV,Icebox
EG,0.386,C9 VS EG,Split
NRG,0.376,NRG VS FUR,Split
RRQ,0.368,TS VS RRQ,Breeze
KRU,0.362,KRU VS MIBR,Sunset
LEV,0.362,C9 VS LEV,Sunset
GX,0.358,TL VS GX,Icebox
DFM,0.352,GEN VS DFM,Lotus
GEN,0.35,GEN VS PRX,Bind
TH,0.34800000000000003,FNC VS TH,Lotus
NRG,0.348,NRG VS FUR,Breeze
TH,0.348,FNC VS TH,Icebox
EG,0.348,C9 VS EG,Sunset
GX,0.346,KC VS GX,Breeze
EG,0.346,G2 VS EG,Icebox
GX,0.344,FNC VS GX,Breeze
KOI,0.344,FNC VS KOI,Bind
BBL,0.34199999999999997,BBL VS TH,Sunset
BBL,0.34199999999999997,BBL VS M8,Sunset
KRU,0.33999999999999997,KRU VS FUR,Breeze
PRX,0.33999999999999997,T1 VS PRX,Lotus
C9,0.33799999999999997,C9 VS EG,Sunset
DRX,0.33799999999999997,GEN VS DRX,Split
TLN,0.33799999999999997,BLD VS TLN,Lotus
GE,0.33799999999999997,GE VS ZETA,Ascent
ZETA,0.336,TS VS ZETA,Sunset
GE,0.33599999999999997,GE VS ZETA,Sunset
FUR,0.33399999999999996,NRG VS FUR,Breeze
GE,0.33399999999999996,GE VS DRX,Lotus
EG,0.33399999999999996,C9 VS EG,Lotus
NAVI,0.33399999999999996,VIT VS NAVI,Lotus
GX,0.332,FNC VS GX,Split
T1,0.332,T1 VS RRQ,Ascent
NAVI,0.33199999999999996,TL VS NAVI,Lotus
KOI,0.33199999999999996,KOI VS TL,Split
M8,0.33,M8 VS FNC,Lotus
TH,0.32999999999999996,VIT VS TH,Breeze
TLN,0.32999999999999996,GE VS TLN,Breeze
TH,0.328,VIT VS TH,Icebox
PRX,0.328,GEN VS PRX,Icebox
BBL,0.32799999999999996,BBL VS TH,Split
GE,0.32599999999999996,GE VS TLN,Breeze
LEV,0.324,SEN VS LEV,Lotus
TS,0.324,TS VS ZETA,Icebox
KRU,0.324,KRU VS FUR,Lotus
GEN,0.324,GEN VS DFM,Lotus
GEN,0.324,GEN VS DRX,Split
TL,0.32,TL VS FUT,Icebox
KC,0.32,KC VS NAVI,Bind
KC,0.32,KC VS GX,Breeze
C9,0.32,C9 VS LEV,Sunset
TLN,0.32,BLD VS TLN,Bind
KC,0.32,KC VS NAVI,Split
TL,0.318,KOI VS TL,Ascent
BLD,0.31799999999999995,BLD VS TLN,Bind
BLD,0.31799999999999995,BLD VS RRQ,Lotus
GE,0.316,GE VS TLN,Lotus
NAVI,0.316,VIT VS NAVI,Bind
BBL,0.316,BBL VS KOI,Icebox
BBL,0.314,BBL VS M8,Ascent
SEN,0.314,SEN VS 100T,Icebox
LEV,0.312,C9 VS LEV,Icebox
FUT,0.312,KC VS FUT,Bind
TL,0.312,KOI VS TL,Split
LOUD,0.31,NRG VS LOUD,Sunset
ZETA,0.31,GE VS ZETA,Sunset
KC,0.308,KC VS NAVI,Sunset
DRX,0.308,GEN VS DRX,Bind
TH,0.308,VIT VS TH,Sunset
BLD,0.308,BLD VS TLN,Icebox
TL,0.308,TL VS NAVI,Ascent
FUR,0.308,KRU VS FUR,Icebox
FNC,0.306,FNC VS GX,Split
GX,0.306,TL VS GX,Lotus
GEN,0.306,GEN VS DFM,Split
TLN,0.304,BLD VS TLN,Icebox
100T,0.304,SEN VS 100T,Icebox
BLD,0.304,BLD VS RRQ,Icebox
KC,0.304,KC VS M8,Split
MIBR,0.302,KRU VS MIBR,Icebox
BLD,0.302,BLD VS TLN,Lotus
KC,0.302,KC VS FUT,Breeze
DFM,0.302,T1 VS DFM,Lotus
ZETA,0.302,GE VS ZETA,Icebox
KRU,0.302,KRU VS MIBR,Icebox
PRX,0.302,GEN VS PRX,Bind
NRG,0.302,NRG VS LOUD,Breeze
FUR,0.302,KRU VS FUR,Lotus
TLN,0.3,GEN VS TLN,Lotus
DFM,0.3,T1 VS DFM,Ascent
M8,0.3,BBL VS M8,Ascent
TS,0.298,TS VS ZETA,Sunset
ZETA,0.298,BLD VS ZETA,Lotus
KOI,0.298,BBL VS KOI,Icebox
FUT,0.298,TL VS FUT,Icebox
FUT,0.298,TL VS FUT,Split
GEN,0.298,GEN VS DRX,Ascent
VIT,0.296,VIT VS NAVI,Bind
TL,0.296,TL VS NAVI,Lotus
TL,0.296,TL VS GX,Icebox
ZETA,0.294,TS VS ZETA,Icebox
NAVI,0.294,TL VS NAVI,Split
RRQ,0.294,TS VS RRQ,Icebox
GE,0.294,GE VS DRX,Ascent
NRG,0.294,NRG VS LOUD,Sunset
DRX,0.292,TS VS DRX,Lotus
NAVI,0.292,TL VS NAVI,Ascent
T1,0.292,T1 VS RRQ,Lotus
DRX,0.292,T1 VS DRX,Breeze
TL,0.292,TL VS GX,Lotus
NAVI,0.29000000000000004,KC VS NAVI,Sunset
FUR,0.29000000000000004,KRU VS FUR,Breeze
T1,0.29,T1 VS DRX,Breeze
RRQ,0.29,TS VS RRQ,Split
TLN,0.29,GE VS TLN,Lotus
FUT,0.29,KC VS FUT,Breeze
GE,0.288,GE VS TLN,Icebox
T1,0.288,T1 VS PRX,Bind
ZETA,0.288,BLD VS ZETA,Ascent
BBL,0.288,BBL VS KOI,Breeze
DFM,0.28600000000000003,BLD VS DFM,Ascent
KOI,0.286,FNC VS KOI,Icebox
KRU,0.284,KRU VS FUR,Icebox
GE,0.28200000000000003,GE VS ZETA,Icebox
NAVI,0.282,KC VS NAVI,Bind
RRQ,0.278,BLD VS RRQ,Icebox
TS,0.278,TS VS RRQ,Breeze
GX,0.278,TL VS GX,Ascent
GX,0.278,KC VS GX,Sunset
DFM,0.278,BLD VS DFM,Lotus
100T,0.27799999999999997,G2 VS 100T,Bind
FNC,0.276,FNC VS GX,Bind
SEN,0.276,SEN VS 100T,Split
ZETA,0.27599999999999997,TS VS ZETA,Lotus
RRQ,0.27599999999999997,BLD VS RRQ,Lotus
KOI,0.27599999999999997,BBL VS KOI,Breeze
DRX,0.274,T1 VS DRX,Split
DRX,0.274,GE VS DRX,Ascent
EG,0.274,G2 VS EG,Lotus
G2,0.27399999999999997,G2 VS 100T,Bind
DRX,0.272,T1 VS DRX,Bind
FNC,0.272,FNC VS KOI,Bind
ZETA,0.272,GE VS ZETA,Ascent
DFM,0.27199999999999996,T1 VS DFM,Sunset
LOUD,0.26799999999999996,NRG VS LOUD,Breeze
KC,0.264,KC VS GX,Sunset
NAVI,0.264,KC VS NAVI,Split
GEN,0.264,GEN VS PRX,Lotus
C9,0.262,C9 VS EG,Lotus
BLD,0.262,BLD VS ZETA,Lotus
SEN,0.262,SEN VS LEV,Lotus
TH,0.262,BBL VS TH,Sunset
GEN,0.262,GEN VS PRX,Icebox
TS,0.262,TS VS DRX,Lotus
KC,0.262,KC VS FUT,Lotus
DRX,0.26,TS VS DRX,Sunset
MIBR,0.26,KRU VS MIBR,Sunset
BLD,0.26,BLD VS DFM,Ascent
C9,0.26,C9 VS LEV,Ascent
KC,0.258,KC VS M8,Icebox
T1,0.256,T1 VS DFM,Sunset
TLN,0.256,GEN VS TLN,Ascent
RRQ,0.256,T1 VS RRQ,Ascent
TH,0.25599999999999995,BBL VS TH,Split
BLD,0.254,BLD VS ZETA,Ascent
TS,0.254,TS VS RRQ,Icebox
TS,0.254,TS VS RRQ,Split
ZETA,0.254,BLD VS ZETA,Sunset
G2,0.252,G2 VS EG,Lotus
KC,0.252,KC VS FUT,Bind
M8,0.252,KC VS M8,Split
DRX,0.252,GEN VS DRX,Ascent
RRQ,0.252,T1 VS RRQ,Lotus
KOI,0.25,KOI VS TL,Ascent
PRX,0.25,GEN VS PRX,Lotus
VIT,0.248,VIT VS NAVI,Lotus
SEN,0.248,SEN VS LEV,Icebox
T1,0.246,T1 VS PRX,Lotus
DFM,0.246,GEN VS DFM,Split
FUT,0.244,VIT VS FUT,Sunset
M8,0.244,M8 VS FNC,Breeze
GEN,0.244,GEN VS TLN,Ascent
T1,0.242,T1 VS DRX,Bind
DFM,0.242,BLD VS DFM,Split
TL,0.24000000000000005,TL VS GX,Ascent
FUT,0.24,KC VS FUT,Lotus
TL,0.24,TL VS FUT,Split
FNC,0.24,FNC VS TH,Icebox
100T,0.238,SEN VS 100T,Split
BLD,0.238,BLD VS ZETA,Sunset
GEN,0.238,GEN VS DRX,Bind
G2,0.238,G2 VS 100T,Split
TL,0.238,TL VS NAVI,Split
T1,0.238,T1 VS DRX,Split
DRX,0.238,GE VS DRX,Lotus
G2,0.238,G2 VS EG,Icebox
PRX,0.236,T1 VS PRX,Bind
LEV,0.23400000000000004,SEN VS LEV,Icebox
GEN,0.23399999999999999,GEN VS TLN,Lotus
TS,0.23399999999999999,TS VS DRX,Sunset
BLD,0.23199999999999998,BLD VS DFM,Split
FUT,0.23199999999999998,VIT VS FUT,Icebox
FNC,0.22999999999999998,M8 VS FNC,Breeze
C9,0.22999999999999998,C9 VS EG,Split
FNC,0.22999999999999998,FNC VS GX,Breeze
BLD,0.22800000000000004,BLD VS DFM,Lotus
M8,0.22400000000000003,KC VS M8,Icebox
VIT,0.22400000000000003,VIT VS FUT,Sunset
FNC,0.22400000000000003,M8 VS FNC,Lotus
FNC,0.22199999999999998,FNC VS KOI,Icebox
FUT,0.22000000000000003,VIT VS FUT,Ascent
VIT,0.22000000000000003,VIT VS TH,Icebox
100T,0.21800000000000003,G2 VS 100T,Split
M8,0.21800000000000003,BBL VS M8,Sunset
LEV,0.21600000000000003,C9 VS LEV,Ascent
VIT,0.21400000000000002,VIT VS TH,Sunset
FNC,0.21200000000000002,FNC VS TH,Lotus
T1,0.21200000000000002,T1 VS DFM,Ascent
FUR,0.20600000000000002,NRG VS FUR,Split
VIT,0.20400000000000001,VIT VS TH,Breeze
T1,0.202,T1 VS DFM,Lotus
VIT,0.196,VIT VS FUT,Ascent
VIT,0.192,VIT VS FUT,Icebox
TS,0.136,TS VS ZETA,Lotus
