Team,Kills,MatchTeams,Map
LEV,134,SEN VS LEV,Lotus
LEV,119,C9 VS LEV,Ascent
C9,116,C9 VS LEV,Ascent
SEN,110,SEN VS LEV,Lotus
FNC,110,FNC VS TH,Lotus
TH,106,FNC VS TH,Lotus
GX,99,TL VS GX,Lotus
TLN,98,GE VS TLN,Breeze
PRX,97,T1 VS PRX,Bind
TL,97,TL VS GX,Lotus
VIT,91,VIT VS TH,Icebox
PRX,91,GEN VS PRX,Lotus
TS,91,TS VS RRQ,Icebox
PRX,90,GEN VS PRX,Icebox
GE,90,GE VS TLN,Breeze
PRX,89,T1 VS PRX,Lotus
TH,89,VIT VS TH,Sunset
BLD,88,BLD VS ZETA,Ascent
RRQ,88,TS VS RRQ,Icebox
M8,88,BBL VS M8,Sunset
DRX,88,GEN VS DRX,Bind
NAVI,87,TL VS NAVI,Split
T1,86,T1 VS PRX,Bind
BBL,86,BBL VS TH,Sunset
RRQ,86,TS VS RRQ,Breeze
TL,85,TL VS GX,Ascent
GE,85,GE VS ZETA,Icebox
DFM,85,T1 VS DFM,Ascent
TL,85,TL VS NAVI,Lotus
C9,85,C9 VS EG,Sunset
LOUD,84,NRG VS LOUD,Breeze
EG,84,C9 VS EG,Lotus
T1,84,T1 VS RRQ,Lotus
TS,84,TS VS ZETA,Icebox
GEN,84,GEN VS TLN,Lotus
DFM,84,T1 VS DFM,Sunset
ZETA,83,TS VS ZETA,Lotus
TL,83,TL VS NAVI,Split
KRU,83,KRU VS FUR,Icebox
ZETA,83,GE VS ZETA,Icebox
VIT,83,VIT VS FUT,Sunset
VIT,83,VIT VS TH,Sunset
BBL,82,BBL VS M8,Sunset
ZETA,82,BLD VS ZETA,Sunset
FUT,82,TL VS FUT,Icebox
LEV,82,C9 VS LEV,Icebox
G2,82,G2 VS EG,Lotus
DRX,82,TS VS DRX,Lotus
NRG,82,NRG VS LOUD,Breeze
GEN,82,GEN VS PRX,Icebox
TL,81,KOI VS TL,Split
VIT,81,VIT VS TH,Breeze
VIT,81,VIT VS FUT,Icebox
FNC,81,FNC VS KOI,Bind
KRU,81,KRU VS FUR,Breeze
FUT,81,KC VS FUT,Lotus
FUR,80,KRU VS FUR,Icebox
KC,79,KC VS FUT,Bind
DRX,79,TS VS DRX,Sunset
KRU,79,KRU VS MIBR,Sunset
KC,79,KC VS M8,Split
KC,79,KC VS M8,Icebox
SEN,79,SEN VS 100T,Icebox
NRG,79,NRG VS FUR,Breeze
GEN,79,GEN VS PRX,Lotus
GEN,78,GEN VS DRX,Ascent
LEV,78,SEN VS LEV,Icebox
T1,78,T1 VS PRX,Lotus
FNC,78,M8 VS FNC,Breeze
KC,78,KC VS GX,Sunset
TLN,78,BLD VS TLN,Bind
BBL,78,BBL VS TH,Split
TH,78,VIT VS TH,Breeze
T1,78,T1 VS DRX,Breeze
BLD,77,BLD VS TLN,Lotus
GX,77,TL VS GX,Ascent
ZETA,77,GE VS ZETA,Ascent
NAVI,77,KC VS NAVI,Sunset
SEN,77,SEN VS 100T,Split
DRX,77,T1 VS DRX,Bind
TS,77,TS VS RRQ,Split
100T,77,G2 VS 100T,Bind
KRU,77,KRU VS FUR,Lotus
NAVI,76,KC VS NAVI,Split
KOI,76,FNC VS KOI,Bind
DRX,76,T1 VS DRX,Split
DRX,76,T1 VS DRX,Breeze
FUT,76,VIT VS FUT,Ascent
PRX,76,GEN VS PRX,Bind
M8,75,BBL VS M8,Ascent
T1,75,T1 VS DFM,Sunset
ZETA,75,BLD VS ZETA,Lotus
RRQ,75,BLD VS RRQ,Icebox
100T,75,G2 VS 100T,Split
VIT,75,VIT VS NAVI,Bind
GX,75,FNC VS GX,Breeze
TS,75,TS VS RRQ,Breeze
FUT,75,KC VS FUT,Bind
G2,74,G2 VS 100T,Bind
DRX,74,GE VS DRX,Ascent
DRX,74,GE VS DRX,Lotus
NAVI,74,VIT VS NAVI,Bind
NAVI,74,TL VS NAVI,Ascent
C9,74,C9 VS EG,Split
FUT,74,KC VS FUT,Breeze
TL,74,TL VS FUT,Icebox
GEN,74,GEN VS DFM,Lotus
TH,74,VIT VS TH,Icebox
NAVI,73,TL VS NAVI,Lotus
GEN,73,GEN VS DRX,Bind
FNC,73,FNC VS GX,Split
TH,73,FNC VS TH,Icebox
TL,73,KOI VS TL,Ascent
TS,73,TS VS ZETA,Sunset
TH,73,BBL VS TH,Sunset
RRQ,73,T1 VS RRQ,Lotus
T1,73,T1 VS RRQ,Ascent
FUT,73,VIT VS FUT,Icebox
BLD,72,BLD VS ZETA,Sunset
T1,72,T1 VS DFM,Lotus
GEN,72,GEN VS TLN,Ascent
DRX,72,GEN VS DRX,Split
DFM,72,BLD VS DFM,Lotus
G2,72,G2 VS EG,Icebox
KRU,71,KRU VS MIBR,Icebox
BLD,71,BLD VS DFM,Lotus
TL,71,TL VS GX,Icebox
FNC,71,FNC VS GX,Bind
T1,71,T1 VS DFM,Ascent
ZETA,71,TS VS ZETA,Icebox
100T,71,SEN VS 100T,Icebox
FNC,71,M8 VS FNC,Lotus
BLD,71,BLD VS DFM,Split
FNC,70,FNC VS KOI,Icebox
SEN,70,SEN VS LEV,Icebox
C9,70,C9 VS EG,Lotus
GX,70,KC VS GX,Sunset
GE,70,GE VS TLN,Icebox
EG,70,G2 VS EG,Lotus
DRX,70,GEN VS DRX,Ascent
KC,69,KC VS GX,Breeze
NRG,69,NRG VS LOUD,Sunset
MIBR,69,KRU VS MIBR,Sunset
KC,69,KC VS NAVI,Bind
TLN,69,BLD VS TLN,Icebox
GEN,69,GEN VS DFM,Split
C9,69,C9 VS LEV,Sunset
NRG,69,NRG VS FUR,Split
FUT,69,VIT VS FUT,Sunset
TS,68,TS VS DRX,Lotus
ZETA,68,BLD VS ZETA,Ascent
GE,68,GE VS ZETA,Ascent
BLD,68,BLD VS DFM,Ascent
FUR,68,NRG VS FUR,Breeze
FUT,68,TL VS FUT,Split
KC,68,KC VS NAVI,Sunset
ZETA,67,GE VS ZETA,Sunset
KOI,67,KOI VS TL,Split
FUR,67,KRU VS FUR,Lotus
NAVI,66,VIT VS NAVI,Lotus
TLN,66,GEN VS TLN,Lotus
ZETA,65,TS VS ZETA,Sunset
BLD,65,BLD VS ZETA,Lotus
BBL,64,BBL VS KOI,Icebox
TLN,64,GE VS TLN,Lotus
KC,64,KC VS NAVI,Split
TS,64,TS VS DRX,Sunset
BBL,63,BBL VS KOI,Breeze
GE,62,GE VS DRX,Ascent
RRQ,62,BLD VS RRQ,Lotus
BBL,62,BBL VS M8,Ascent
BLD,62,BLD VS TLN,Bind
EG,61,C9 VS EG,Sunset
TLN,61,BLD VS TLN,Lotus
G2,61,G2 VS 100T,Split
DFM,61,BLD VS DFM,Split
C9,61,C9 VS LEV,Icebox
KOI,60,KOI VS TL,Ascent
VIT,60,VIT VS FUT,Ascent
GE,60,GE VS DRX,Lotus
DFM,60,GEN VS DFM,Lotus
DFM,59,T1 VS DFM,Lotus
TLN,59,GEN VS TLN,Ascent
RRQ,59,TS VS RRQ,Split
KC,59,KC VS FUT,Lotus
TH,58,BBL VS TH,Split
NAVI,58,KC VS NAVI,Bind
GX,58,TL VS GX,Icebox
KC,58,KC VS FUT,Breeze
100T,56,SEN VS 100T,Split
DFM,56,GEN VS DFM,Split
M8,56,KC VS M8,Icebox
TL,55,TL VS NAVI,Ascent
GEN,55,GEN VS PRX,Bind
M8,55,KC VS M8,Split
TS,54,TS VS ZETA,Lotus
BLD,54,BLD VS RRQ,Icebox
LEV,53,C9 VS LEV,Sunset
TL,52,TL VS FUT,Split
MIBR,52,KRU VS MIBR,Icebox
FUR,51,KRU VS FUR,Breeze
GEN,51,GEN VS DRX,Split
M8,51,M8 VS FNC,Breeze
BLD,50,BLD VS TLN,Icebox
FNC,50,FNC VS TH,Icebox
GE,50,GE VS TLN,Lotus
GX,49,FNC VS GX,Split
GX,49,FNC VS GX,Bind
T1,48,T1 VS DRX,Bind
RRQ,47,T1 VS RRQ,Ascent
FNC,46,FNC VS GX,Breeze
TLN,46,GE VS TLN,Icebox
KOI,45,FNC VS KOI,Icebox
GX,45,KC VS GX,Breeze
EG,45,C9 VS EG,Split
VIT,45,VIT VS NAVI,Lotus
KOI,44,BBL VS KOI,Icebox
KOI,43,BBL VS KOI,Breeze
T1,43,T1 VS DRX,Split
LOUD,42,NRG VS LOUD,Sunset
M8,40,M8 VS FNC,Lotus
EG,40,G2 VS EG,Icebox
DFM,39,BLD VS DFM,Ascent
FUR,38,NRG VS FUR,Split
BLD,36,BLD VS RRQ,Lotus
GE,35,GE VS ZETA,Sunset
