Name,ADR,MatchTeams,Date
OXY,230.67,C9 VS EG,April 15th 2024
Derke,214.5,FNC VS KOI,April 19th 2024
QutionerX,211.5,BBL VS TH,April 18th 2024
Lmemore,208.5,BLD VS RRQ,April 14th 2024
aspas,206.5,SEN VS LEV,April 13th 2024
Derke,204.0,M8 VS FNC,April 17th 2024
Victor,204.0,NRG VS FUR,April 14th 2024
NaturE,202.0,G2 VS EG,April 7th 2024
aspas,201.33,C9 VS LEV,April 6th 2024
Demon1,195.0,NRG VS LOUD,April 6th 2024
MaKo,191.33,T1 VS DRX,April 13th 2024
Dep,187.0,GE VS ZETA,April 6th 2024
Meiy,186.67,T1 VS DFM,April 9th 2024
Demon1,186.0,NRG VS FUR,April 14th 2024
BuZz,184.0,T1 VS DRX,April 13th 2024
nataNk,184.0,BBL VS M8,April 5th 2024
keznit,182.0,KRU VS MIBR,April 14th 2024
xffero,182.0,BLD VS RRQ,April 14th 2024
N4RRATE,181.5,KC VS M8,April 12th 2024
keznit,180.0,KRU VS FUR,April 8th 2024
MiniBoo,178.67,VIT VS TH,April 10th 2024
tomaszy,175.67,KC VS NAVI,April 17th 2024
heat,175.33,KRU VS FUR,April 8th 2024
Brave,175.0,BBL VS KOI,April 11th 2024
Chronicle,174.5,M8 VS FNC,April 17th 2024
nataNk,174.0,M8 VS FNC,April 17th 2024
Elite,174.0,BBL VS M8,April 5th 2024
Meiy,174.0,GEN VS DFM,April 15th 2024
MiniBoo,172.0,FNC VS TH,April 4th 2024
t3xture,171.5,GEN VS TLN,April 9th 2024
Dep,171.33,TS VS ZETA,April 14th 2024
ardiis,171.0,KC VS NAVI,April 17th 2024
Jremy,170.33,TS VS RRQ,April 8th 2024
valyn,169.5,G2 VS EG,April 7th 2024
Less,169.5,NRG VS LOUD,April 6th 2024
BuZz,169.5,TS VS DRX,April 6th 2024
tomaszy,169.5,KC VS M8,April 12th 2024
BuZz,169.0,GE VS DRX,April 8th 2024
Elite,169.0,BBL VS KOI,April 11th 2024
tomaszy,168.5,KC VS GX,April 3rd 2024
Lightningfast,168.33,GE VS TLN,April 15th 2024
Alfajer,167.67,FNC VS GX,April 12th 2024
nAts,167.0,KOI VS TL,April 3rd 2024
Cryocells,167.0,SEN VS 100T,April 7th 2024
Foxy9,167.0,GE VS DRX,April 8th 2024
JonahP,165.5,G2 VS EG,April 7th 2024
JitBoyS,165.33,BLD VS TLN,April 7th 2024
something,165.0,GEN VS PRX,April 13th 2024
sScary,164.33,BLD VS DFM,April 20th 2024
TakaS,163.5,BBL VS M8,April 5th 2024
trent,162.0,G2 VS 100T,April 13th 2024
runneR,161.5,VIT VS NAVI,April 4th 2024
RieNs,161.33,VIT VS TH,April 10th 2024
Zest,161.0,BLD VS DFM,April 20th 2024
Sayaplayer,160.5,T1 VS RRQ,April 16th 2024
Laz,160.0,GE VS ZETA,April 6th 2024
MaKo,160.0,TS VS DRX,April 6th 2024
yuran,159.67,TS VS ZETA,April 14th 2024
grubinho,159.5,FNC VS KOI,April 19th 2024
Lmemore,159.0,T1 VS RRQ,April 16th 2024
t3xture,158.5,GEN VS DFM,April 15th 2024
N4RRATE,158.5,KC VS GX,April 3rd 2024
nataNk,157.5,KC VS M8,April 12th 2024
Marved,157.5,NRG VS LOUD,April 6th 2024
Jemkin,157.33,TS VS RRQ,April 8th 2024
runneR,157.33,VIT VS TH,April 10th 2024
Lightningfast,157.0,GE VS ZETA,April 6th 2024
Jremy,156.67,TS VS ZETA,April 14th 2024
Sacy,156.5,SEN VS 100T,April 7th 2024
trent,156.5,G2 VS EG,April 7th 2024
invy,155.0,TS VS DRX,April 6th 2024
Asuna,155.0,G2 VS 100T,April 13th 2024
iZu,154.5,T1 VS RRQ,April 16th 2024
f0rsakeN,154.5,T1 VS PRX,April 7th 2024
JitBoyS,154.0,GE VS TLN,April 15th 2024
trexx,154.0,VIT VS FUT,April 18th 2024
zekken,154.0,SEN VS 100T,April 7th 2024
ceNder,153.33,VIT VS TH,April 10th 2024
mindfreak,153.33,GEN VS PRX,April 13th 2024
marteen,153.33,KC VS FUT,April 10th 2024
SUYGETSU,153.0,TL VS NAVI,April 11th 2024
Cryocells,153.0,G2 VS 100T,April 13th 2024
crashies,153.0,NRG VS LOUD,April 6th 2024
beyAz,152.5,BBL VS M8,April 5th 2024
sScary,152.0,BLD VS RRQ,April 14th 2024
Zyppan,151.67,TL VS NAVI,April 11th 2024
Governor,151.33,GE VS TLN,April 15th 2024
Zyppan,151.0,VIT VS NAVI,April 4th 2024
Rossy,151.0,T1 VS RRQ,April 16th 2024
Laz,151.0,BLD VS ZETA,April 16th 2024
kiNgg,151.0,SEN VS LEV,April 13th 2024
yetujey,150.67,KC VS FUT,April 10th 2024
Meteor,150.67,GEN VS PRX,April 13th 2024
Jinggg,150.0,T1 VS PRX,April 7th 2024
logaN,150.0,KC VS M8,April 12th 2024
Keiko,150.0,TL VS GX,April 19th 2024
cNed,149.67,KC VS FUT,April 10th 2024
Jemkin,149.5,BLD VS RRQ,April 14th 2024
BeYN,149.33,GEN VS DRX,April 20th 2024
OXY,149.0,C9 VS LEV,April 6th 2024
Alfajer,149.0,FNC VS KOI,April 19th 2024
xccurate,149.0,T1 VS PRX,April 7th 2024
leaf,148.5,G2 VS EG,April 7th 2024
Keiko,148.0,TL VS FUT,April 5th 2024
benjyfishy,148.0,FNC VS TH,April 4th 2024
cNed,148.0,VIT VS FUT,April 18th 2024
Shao,147.33,TL VS NAVI,April 11th 2024
Leo,147.0,FNC VS TH,April 4th 2024
cNed,147.0,TL VS FUT,April 5th 2024
Zest,147.0,BLD VS ZETA,April 16th 2024
Sayaplayer,146.5,T1 VS PRX,April 7th 2024
runi,146.33,C9 VS LEV,April 6th 2024
bang,146.0,SEN VS 100T,April 7th 2024
t3xture,146.0,GEN VS DRX,April 20th 2024
BORKUM,145.67,TS VS RRQ,April 8th 2024
Meiy,144.67,BLD VS DFM,April 20th 2024
Fit1nho,144.5,KC VS GX,April 3rd 2024
sheydos,144.5,KOI VS TL,April 3rd 2024
BORKUM,144.0,TS VS ZETA,April 14th 2024
Sayaplayer,144.0,T1 VS DFM,April 9th 2024
Elite,144.0,BBL VS TH,April 18th 2024
jzz,144.0,KRU VS MIBR,April 14th 2024
Sayf,143.67,VIT VS FUT,April 18th 2024
ANGE1,143.0,VIT VS NAVI,April 4th 2024
Foxy9,143.0,TS VS DRX,April 6th 2024
runi,142.67,C9 VS EG,April 15th 2024
BuZz,142.67,GEN VS DRX,April 20th 2024
MrFaliN,142.33,VIT VS FUT,April 18th 2024
Keiko,142.0,TL VS NAVI,April 11th 2024
Munchkin,142.0,GEN VS DFM,April 15th 2024
sScary,142.0,BLD VS TLN,April 7th 2024
Kicks,142.0,VIT VS TH,April 10th 2024
lenne,142.0,GEN VS TLN,April 9th 2024
Xeppaa,142.0,C9 VS LEV,April 6th 2024
yay,141.67,BLD VS TLN,April 7th 2024
Shao,141.5,VIT VS NAVI,April 4th 2024
nAts,141.33,TL VS NAVI,April 11th 2024
artzin,141.0,KRU VS MIBR,April 14th 2024
ban,141.0,GEN VS TLN,April 9th 2024
MaKo,140.5,GE VS DRX,April 8th 2024
fl1pzjder,140.0,TS VS RRQ,April 8th 2024
Marved,140.0,NRG VS FUR,April 14th 2024
f0rsakeN,139.67,GEN VS PRX,April 13th 2024
Chronicle,139.5,FNC VS KOI,April 19th 2024
ceNder,139.33,VIT VS FUT,April 18th 2024
invy,139.33,TS VS ZETA,April 14th 2024
sh1n,139.0,KC VS GX,April 3rd 2024
Jinggg,138.67,GEN VS PRX,April 13th 2024
Leo,138.5,M8 VS FNC,April 17th 2024
Mistic,138.0,KOI VS TL,April 3rd 2024
benjyfishy,138.0,BBL VS TH,April 18th 2024
MrFaliN,138.0,TL VS FUT,April 5th 2024
bang,138.0,G2 VS 100T,April 13th 2024
Medusa,137.33,T1 VS DFM,April 9th 2024
marteen,136.67,KC VS NAVI,April 17th 2024
Russ,136.5,GE VS DRX,April 8th 2024
Alfajer,136.5,M8 VS FNC,April 17th 2024
Klaus,136.5,KRU VS MIBR,April 14th 2024
SugarZ3ro,136.33,BLD VS ZETA,April 16th 2024
ban,136.33,BLD VS TLN,April 7th 2024
Zyppan,136.0,KC VS NAVI,April 17th 2024
nAts,136.0,TL VS GX,April 19th 2024
purp0,136.0,FNC VS GX,April 12th 2024
Cloud,136.0,KC VS GX,April 3rd 2024
ban,135.67,GE VS TLN,April 15th 2024
heat,135.5,KRU VS MIBR,April 14th 2024
pAura,135.5,BBL VS M8,April 5th 2024
invy,135.33,TS VS RRQ,April 8th 2024
jawgemo,135.33,C9 VS EG,April 15th 2024
qRaxs,135.0,TL VS FUT,April 5th 2024
mwzera,135.0,KRU VS FUR,April 8th 2024
johnqt,135.0,SEN VS 100T,April 7th 2024
frz,135.0,KRU VS MIBR,April 14th 2024
Leo,134.5,FNC VS KOI,April 19th 2024
Sayf,134.33,VIT VS TH,April 10th 2024
xffero,134.0,TS VS RRQ,April 8th 2024
Zellsis,134.0,SEN VS LEV,April 13th 2024
Meteor,134.0,GEN VS DRX,April 20th 2024
Munchkin,134.0,GEN VS DRX,April 20th 2024
Fit1nho,133.67,TL VS GX,April 19th 2024
RieNs,133.5,FNC VS TH,April 4th 2024
QutionerX,133.5,BBL VS KOI,April 11th 2024
Apoth,133.33,C9 VS EG,April 15th 2024
Jamppi,133.0,KOI VS TL,April 3rd 2024
Rossy,132.67,T1 VS DFM,April 9th 2024
neth,132.67,T1 VS DFM,April 9th 2024
Russ,132.67,GE VS ZETA,April 6th 2024
Chronicle,132.67,FNC VS GX,April 12th 2024
AtaKaptan,132.5,TL VS FUT,April 5th 2024
Carpe,132.33,T1 VS DFM,April 9th 2024
Enzo,132.33,TL VS NAVI,April 11th 2024
kiNgg,132.0,C9 VS LEV,April 6th 2024
marteen,132.0,KC VS GX,April 3rd 2024
Fit1nho,132.0,FNC VS GX,April 12th 2024
Jremy,131.5,TS VS DRX,April 6th 2024
Melser,131.0,KRU VS FUR,April 8th 2024
Lakia,131.0,GEN VS TLN,April 9th 2024
Laz,131.0,TS VS ZETA,April 14th 2024
d4v41,130.5,T1 VS PRX,April 7th 2024
SugarZ3ro,130.33,GE VS ZETA,April 6th 2024
MAGNUM,130.0,KC VS M8,April 12th 2024
yuran,129.67,GE VS ZETA,April 6th 2024
yuran,129.67,BLD VS ZETA,April 16th 2024
Surf,129.67,BLD VS TLN,April 7th 2024
iZu,129.67,T1 VS DFM,April 9th 2024
N4RRATE,129.67,KC VS NAVI,April 17th 2024
Deryeon,129.67,BLD VS ZETA,April 16th 2024
paTiTek,129.5,BBL VS TH,April 18th 2024
leaf,129.5,G2 VS 100T,April 13th 2024
Melser,129.5,KRU VS MIBR,April 14th 2024
yay,129.5,BLD VS RRQ,April 14th 2024
Boo,129.5,FNC VS TH,April 4th 2024
ardiis,129.33,TL VS NAVI,April 11th 2024
Lmemore,129.33,TS VS RRQ,April 8th 2024
ANGE1,129.33,KC VS NAVI,April 17th 2024
something,129.0,T1 VS PRX,April 7th 2024
iZu,129.0,T1 VS DRX,April 13th 2024
Derke,129.0,FNC VS TH,April 4th 2024
Zellsis,129.0,SEN VS 100T,April 7th 2024
nzr,129.0,NRG VS FUR,April 14th 2024
hiroronn,128.67,GE VS ZETA,April 6th 2024
TenZ,128.5,SEN VS 100T,April 7th 2024
marteen,128.5,KC VS M8,April 12th 2024
zekken,128.5,SEN VS LEV,April 13th 2024
NDG,128.33,TS VS ZETA,April 14th 2024
reazy,128.0,BBL VS TH,April 18th 2024
eeiu,127.0,G2 VS 100T,April 13th 2024
JessieVash,127.0,TS VS DRX,April 6th 2024
stax,127.0,T1 VS DRX,April 13th 2024
Sayf,127.0,VIT VS NAVI,April 4th 2024
havoc,126.5,NRG VS FUR,April 14th 2024
SUYGETSU,126.33,KC VS NAVI,April 17th 2024
hoody,126.33,TL VS GX,April 19th 2024
nzr,126.0,KRU VS FUR,April 8th 2024
MaKo,126.0,GEN VS DRX,April 20th 2024
paTiTek,126.0,FNC VS TH,April 4th 2024
AtaKaptan,126.0,KC VS FUT,April 10th 2024
Polvi,126.0,GE VS TLN,April 15th 2024
supamen,126.0,C9 VS EG,April 15th 2024
Chronicle,125.5,FNC VS TH,April 4th 2024
Brave,125.5,BBL VS TH,April 18th 2024
Victor,125.5,NRG VS LOUD,April 6th 2024
Benkai,125.33,GE VS ZETA,April 6th 2024
Keiko,125.0,KOI VS TL,April 3rd 2024
SUYGETSU,125.0,VIT VS NAVI,April 4th 2024
sh1n,124.5,KC VS M8,April 12th 2024
Deryeon,124.0,BLD VS TLN,April 7th 2024
Governor,124.0,BLD VS TLN,April 7th 2024
sScary,123.67,BLD VS ZETA,April 16th 2024
t3xture,123.33,GEN VS PRX,April 13th 2024
paTiTek,123.33,VIT VS TH,April 10th 2024
Deryeon,123.0,BLD VS DFM,April 20th 2024
QutionerX,123.0,BBL VS M8,April 5th 2024
yetujey,123.0,TL VS FUT,April 5th 2024
Jamppi,123.0,TL VS NAVI,April 11th 2024
Derrek,122.67,C9 VS EG,April 15th 2024
Leo,122.67,FNC VS GX,April 12th 2024
Carpe,122.5,T1 VS RRQ,April 16th 2024
saadhak,122.5,NRG VS LOUD,April 6th 2024
reazy,122.5,BBL VS KOI,April 11th 2024
Mistic,122.33,TL VS NAVI,April 11th 2024
SSeeS,122.33,BLD VS DFM,April 20th 2024
Asuna,122.0,SEN VS 100T,April 7th 2024
kamo,122.0,KOI VS TL,April 3rd 2024
moose,122.0,C9 VS EG,April 15th 2024
Khalil,121.67,KRU VS FUR,April 8th 2024
Lakia,121.5,GEN VS DFM,April 15th 2024
TenZ,121.5,SEN VS LEV,April 13th 2024
NDG,121.33,TS VS RRQ,April 8th 2024
blaZek1ng,121.33,GE VS ZETA,April 6th 2024
Foxy9,121.33,GEN VS DRX,April 20th 2024
yay,121.0,BLD VS DFM,April 20th 2024
Klaus,121.0,KRU VS FUR,April 8th 2024
Enzo,121.0,TL VS GX,April 19th 2024
benjyfishy,121.0,VIT VS TH,April 10th 2024
Carpe,121.0,T1 VS PRX,April 7th 2024
mindfreak,120.5,T1 VS PRX,April 7th 2024
stax,120.33,GEN VS DRX,April 20th 2024
Lakia,120.33,GEN VS PRX,April 13th 2024
Polvi,120.0,GE VS DRX,April 8th 2024
Jamppi,120.0,TL VS GX,April 19th 2024
Benkai,119.67,GE VS TLN,April 15th 2024
Shyy,119.5,KRU VS MIBR,April 14th 2024
Karon,119.5,GEN VS TLN,April 9th 2024
Xeppaa,119.33,C9 VS EG,April 15th 2024
yetujey,119.33,VIT VS FUT,April 18th 2024
purp0,119.0,KC VS GX,April 3rd 2024
kamo,119.0,BBL VS KOI,April 11th 2024
havoc,119.0,KRU VS FUR,April 8th 2024
Jemkin,119.0,T1 VS RRQ,April 16th 2024
MAGNUM,119.0,KC VS NAVI,April 17th 2024
qRaxs,119.0,VIT VS FUT,April 18th 2024
MrFaliN,119.0,KC VS FUT,April 10th 2024
Alfajer,118.5,FNC VS TH,April 4th 2024
moose,118.0,C9 VS LEV,April 6th 2024
qRaxs,117.67,KC VS FUT,April 10th 2024
d4v41,117.67,GEN VS PRX,April 13th 2024
hoody,117.67,FNC VS GX,April 12th 2024
N4RRATE,117.67,KC VS FUT,April 10th 2024
Meteor,117.5,GEN VS DFM,April 15th 2024
crashies,117.5,NRG VS FUR,April 14th 2024
xffero,117.5,T1 VS RRQ,April 16th 2024
purp0,117.33,TL VS GX,April 19th 2024
Jamppi,117.0,TL VS FUT,April 5th 2024
johnqt,117.0,SEN VS LEV,April 13th 2024
starxo,117.0,FNC VS KOI,April 19th 2024
sh1n,117.0,KC VS FUT,April 10th 2024
Ethan,117.0,NRG VS LOUD,April 6th 2024
tuyz,117.0,NRG VS LOUD,April 6th 2024
Lightningfast,117.0,GE VS DRX,April 8th 2024
icy,116.5,G2 VS 100T,April 13th 2024
NaturE,116.33,C9 VS EG,April 15th 2024
Dep,116.0,BLD VS ZETA,April 16th 2024
jawgemo,116.0,G2 VS EG,April 7th 2024
Cloud,116.0,TL VS GX,April 19th 2024
MAGNUM,116.0,KC VS FUT,April 10th 2024
Governor,116.0,GEN VS TLN,April 9th 2024
Boaster,116.0,M8 VS FNC,April 17th 2024
SugarZ3ro,115.67,TS VS ZETA,April 14th 2024
yay,115.67,BLD VS ZETA,April 16th 2024
Retla,115.67,BLD VS ZETA,April 16th 2024
Karon,115.67,GEN VS PRX,April 13th 2024
Munchkin,115.67,GEN VS PRX,April 13th 2024
BeYN,115.67,T1 VS DRX,April 13th 2024
starxo,115.5,BBL VS KOI,April 11th 2024
hoody,115.0,KC VS GX,April 3rd 2024
Rossy,115.0,T1 VS PRX,April 7th 2024
grubinho,115.0,KOI VS TL,April 3rd 2024
Shyy,115.0,KRU VS FUR,April 8th 2024
BeYN,115.0,TS VS DRX,April 6th 2024
Polvi,114.67,GE VS ZETA,April 6th 2024
Mistic,114.67,TL VS GX,April 19th 2024
MiniBoo,114.5,BBL VS TH,April 18th 2024
Enzo,114.5,TL VS FUT,April 5th 2024
tex,114.33,C9 VS LEV,April 6th 2024
Medusa,114.0,GEN VS DFM,April 15th 2024
Redgar,114.0,TL VS GX,April 19th 2024
BeYN,114.0,GE VS DRX,April 8th 2024
Estrella,114.0,BLD VS RRQ,April 14th 2024
Russ,113.67,GE VS TLN,April 15th 2024
trexx,113.5,VIT VS NAVI,April 4th 2024
Munchkin,113.5,GEN VS TLN,April 9th 2024
Sayaplayer,113.33,T1 VS DRX,April 13th 2024
sheydos,113.0,BBL VS KOI,April 11th 2024
logaN,112.5,M8 VS FNC,April 17th 2024
pAura,112.5,BBL VS KOI,April 11th 2024
Benkai,112.0,GE VS DRX,April 8th 2024
pAura,112.0,BBL VS TH,April 18th 2024
xccurate,111.5,T1 VS RRQ,April 16th 2024
Ethan,111.5,NRG VS FUR,April 14th 2024
Derrek,111.0,G2 VS EG,April 7th 2024
Enzo,111.0,KOI VS TL,April 3rd 2024
ShadoW,111.0,KOI VS TL,April 3rd 2024
Anthem,110.33,BLD VS DFM,April 20th 2024
beyAz,110.0,KC VS M8,April 12th 2024
Mazino,110.0,SEN VS LEV,April 13th 2024
Meteor,109.5,GEN VS TLN,April 9th 2024
Cloud,109.33,FNC VS GX,April 12th 2024
nAts,109.0,TL VS FUT,April 5th 2024
Derke,108.67,FNC VS GX,April 12th 2024
ShadoW,108.5,FNC VS KOI,April 19th 2024
cauanzin,108.5,NRG VS LOUD,April 6th 2024
mwzera,108.5,NRG VS FUR,April 14th 2024
trexx,108.33,VIT VS TH,April 10th 2024
stax,108.0,TS VS DRX,April 6th 2024
eeiu,108.0,SEN VS 100T,April 7th 2024
grubinho,108.0,BBL VS KOI,April 11th 2024
C0M,107.5,SEN VS LEV,April 13th 2024
Crws,107.33,GE VS TLN,April 15th 2024
kon4n,107.0,KRU VS FUR,April 8th 2024
hiroronn,106.67,TS VS ZETA,April 14th 2024
Shao,106.67,KC VS NAVI,April 17th 2024
runneR,106.33,VIT VS FUT,April 18th 2024
reazy,106.0,BBL VS M8,April 5th 2024
stax,106.0,GE VS DRX,April 8th 2024
ANGE1,105.33,TL VS NAVI,April 11th 2024
SSeeS,104.67,T1 VS DFM,April 9th 2024
JessieVash,104.33,TS VS ZETA,April 14th 2024
AtaKaptan,104.33,VIT VS FUT,April 18th 2024
Medusa,104.0,BLD VS DFM,April 20th 2024
MAGNUM,104.0,KC VS GX,April 3rd 2024
Boo,104.0,BBL VS TH,April 18th 2024
Deryeon,104.0,BLD VS RRQ,April 14th 2024
tomaszy,103.67,KC VS FUT,April 10th 2024
blaZek1ng,103.33,GE VS TLN,April 15th 2024
vanity,103.33,C9 VS LEV,April 6th 2024
Mazino,103.33,C9 VS LEV,April 6th 2024
Boaster,102.5,FNC VS TH,April 4th 2024
JonahP,102.5,G2 VS 100T,April 13th 2024
Rossy,102.33,T1 VS DRX,April 13th 2024
hiroronn,101.67,BLD VS ZETA,April 16th 2024
Mistic,101.0,TL VS FUT,April 5th 2024
Sacy,101.0,SEN VS LEV,April 13th 2024
C0M,100.33,C9 VS LEV,April 6th 2024
JessieVash,100.0,TS VS RRQ,April 8th 2024
Boaster,99.67,FNC VS GX,April 12th 2024
RieNs,99.5,BBL VS TH,April 18th 2024
xccurate,99.0,T1 VS DRX,April 13th 2024
ardiis,99.0,VIT VS NAVI,April 4th 2024
Anthem,98.5,GEN VS DFM,April 15th 2024
Estrella,98.5,T1 VS RRQ,April 16th 2024
Boostio,98.0,G2 VS 100T,April 13th 2024
xccurate,97.67,T1 VS DFM,April 9th 2024
Karon,97.67,GEN VS DRX,April 20th 2024
iZu,97.5,T1 VS PRX,April 7th 2024
Quick,97.5,NRG VS LOUD,April 6th 2024
valyn,97.5,G2 VS 100T,April 13th 2024
Anthem,97.33,T1 VS DFM,April 9th 2024
blaZek1ng,97.0,GE VS DRX,April 8th 2024
Wailers,97.0,BBL VS M8,April 5th 2024
Khalil,96.5,NRG VS FUR,April 14th 2024
Estrella,96.0,TS VS RRQ,April 8th 2024
ShadoW,96.0,BBL VS KOI,April 11th 2024
Karon,96.0,GEN VS DFM,April 15th 2024
Kicks,96.0,VIT VS FUT,April 18th 2024
NDG,94.0,TS VS DRX,April 6th 2024
Carpe,94.0,T1 VS DRX,April 13th 2024
Kicks,93.5,VIT VS NAVI,April 4th 2024
TakaS,93.5,KC VS M8,April 12th 2024
kon4n,92.5,NRG VS FUR,April 14th 2024
tex,92.5,SEN VS LEV,April 13th 2024
JitBoyS,92.0,GEN VS TLN,April 9th 2024
Zest,91.67,BLD VS TLN,April 7th 2024
Retla,91.67,BLD VS DFM,April 20th 2024
kamo,91.5,FNC VS KOI,April 19th 2024
Crws,91.0,GEN VS TLN,April 9th 2024
Lakia,90.67,GEN VS DRX,April 20th 2024
beyAz,90.5,M8 VS FNC,April 17th 2024
Crws,90.33,BLD VS TLN,April 7th 2024
icy,90.0,G2 VS EG,April 7th 2024
Retla,90.0,BLD VS RRQ,April 14th 2024
supamen,90.0,G2 VS EG,April 7th 2024
Brave,89.0,BBL VS M8,April 5th 2024
Redgar,88.67,FNC VS GX,April 12th 2024
Retla,87.67,BLD VS TLN,April 7th 2024
RgLMeister,87.5,KRU VS MIBR,April 14th 2024
starxo,87.5,KOI VS TL,April 3rd 2024
Surf,86.67,GE VS TLN,April 15th 2024
Apoth,86.0,G2 VS EG,April 7th 2024
mazin,85.5,KRU VS MIBR,April 14th 2024
BORKUM,85.0,TS VS DRX,April 6th 2024
logaN,84.0,BBL VS M8,April 5th 2024
vanity,83.33,C9 VS EG,April 15th 2024
Foxy9,83.33,T1 VS DRX,April 13th 2024
TakaS,83.0,M8 VS FNC,April 17th 2024
fl1pzjder,82.0,T1 VS RRQ,April 16th 2024
sh1n,81.67,KC VS NAVI,April 17th 2024
fl1pzjder,80.0,BLD VS RRQ,April 14th 2024
Boo,80.0,VIT VS TH,April 10th 2024
sheydos,79.0,FNC VS KOI,April 19th 2024
ceNder,79.0,VIT VS NAVI,April 4th 2024
neth,78.67,BLD VS DFM,April 20th 2024
Zest,75.5,BLD VS RRQ,April 14th 2024
Wailers,71.0,KC VS M8,April 12th 2024
neth,70.0,GEN VS DFM,April 15th 2024
Boaster,63.5,FNC VS KOI,April 19th 2024
SSeeS,60.5,GEN VS DFM,April 15th 2024
Boostio,57.0,SEN VS 100T,April 7th 2024
Redgar,55.0,KC VS GX,April 3rd 2024
Wailers,48.5,M8 VS FNC,April 17th 2024
Surf,44.0,GEN VS TLN,April 9th 2024
